variable_name,value_value,value_label,avail_from_dt,table_name
N9QUALTP,-1,Not applicable,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,1,GCSE1,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,2,GCSE2,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,3,AS LEVELS 1,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,4,AS LEVELS 2,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,5,A LEVELS 1,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,6,A LEVELS 2,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,7,DEGREE,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,8,DEGREE LEVEL QUALIFICATIONS,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,9,HIGHER DEGREE,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,10,NURSING QUALIFICATIONS,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,11,TEACHING QUALIFICATIONS,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,12,BTEC,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,13,CITY,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,14,RSA,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,15,PITMAN,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,16,NVQ,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,17,GNVQ,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,18,ONC,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,19,HNC,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,20,APPRENTICESHIPS,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
N9QUALTP,21,OTHER VOCATIONAL QUALIFICATIONS,2022-01-08 13:57:00.450,ncds9_qualifications_v0001_20211101
