,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1043618,NCDS58,ncds9_relationships,study_id_e,,,
1043619,NCDS58,ncds9_relationships,n9relid,sortkey: relationship history record index,,
1043620,NCDS58,ncds9_relationships,n9rnrany,Whether lived with anyone as a couple,-9.0,Refused
1043621,NCDS58,ncds9_relationships,n9rnrany,Whether lived with anyone as a couple,-8.0,Don't know
1043622,NCDS58,ncds9_relationships,n9rnrany,Whether lived with anyone as a couple,-1.0,Not applicable
1043623,NCDS58,ncds9_relationships,n9rnrany,Whether lived with anyone as a couple,1.0,Yes
1043624,NCDS58,ncds9_relationships,n9rnrany,Whether lived with anyone as a couple,2.0,No
1043625,NCDS58,ncds9_relationships,n9rsty,When first started living with partner - Year,-9.0,Refused
1043626,NCDS58,ncds9_relationships,n9rsty,When first started living with partner - Year,-8.0,Don't know
1043627,NCDS58,ncds9_relationships,n9rsty,When first started living with partner - Year,-1.0,Not applicable
1043628,NCDS58,ncds9_relationships,n9rsty,When first started living with partner - Year,0.0,Before 2000
1043629,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,-9.0,Refused
1043630,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,-8.0,Don't know
1043631,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,-1.0,Not applicable
1043632,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,0.0,Before 2000
1043633,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,1.0,January
1043634,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,2.0,February
1043635,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,3.0,March
1043636,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,4.0,April
1043637,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,5.0,May
1043638,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,6.0,June
1043639,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,7.0,July
1043640,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,8.0,August
1043641,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,9.0,September
1043642,NCDS58,ncds9_relationships,n9rstm,When first started living with partner - Month,10.0,October
