variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RELID,sortkey: relationship history record index,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RNRANY,Whether lived with anyone as a couple,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RSTY,When first started living with partner - Year,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RSTM,When first started living with partner - Month,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RSEX,Partner sex,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RDOBM,Partner month of birth,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RDOBY,Partner year of birth,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RAGE,Partner age,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RNOWMA,Whether married partner,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RWHMAY,When they married partner - Year,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RWHMAM,When they married partner - Month,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RSLIVE,Whether still live together as a couple,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RLIVPA,Whether lived with partner continuously,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RHWEND,Reason couple no longer living together,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RENDY,When stopped living with partner as a couple or partner died - Year,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RENDM,When stopped living with partner as a couple or partner died - Month,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RDIVOR,Whether divorced,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RDIVY,When got divorced / dissolved CP - Year,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
N9RDIVM,When got divorced / dissolved CP - Month,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
V3,None,2022-01-08 13:46:39.617,ncds9_relationships_v0001_20211101
