,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1050592,NCDS58,response_1958_2013,study_id_e,,,
1050593,NCDS58,response_1958_2013,n622,0-3D Sex of child,-1.0,Not known
1050594,NCDS58,response_1958_2013,n622,0-3D Sex of child,1.0,Male
1050595,NCDS58,response_1958_2013,n622,0-3D Sex of child,2.0,Female
1050596,NCDS58,response_1958_2013,bstatus,Birth Status,0.0,Alive after 28 days
1050597,NCDS58,response_1958_2013,bstatus,Birth Status,1.0,Stillborn
1050598,NCDS58,response_1958_2013,bstatus,Birth Status,2.0,Neonatal Death
1050599,NCDS58,response_1958_2013,cobirth,Country of Birth,1.0,England
1050600,NCDS58,response_1958_2013,cobirth,Country of Birth,2.0,Wales
1050601,NCDS58,response_1958_2013,cobirth,Country of Birth,3.0,Scotland
1050602,NCDS58,response_1958_2013,cobirth,Country of Birth,4.0,Great Britain
1050603,NCDS58,response_1958_2013,cobirth,Country of Birth,9.0,Not in Great Britain
1050604,NCDS58,response_1958_2013,multipno,Twin or triplet identity,-1.0,Not applicable
1050605,NCDS58,response_1958_2013,multipno,Twin or triplet identity,1.0,First
1050606,NCDS58,response_1958_2013,multipno,Twin or triplet identity,2.0,Second
1050607,NCDS58,response_1958_2013,multipno,Twin or triplet identity,3.0,Third
1050608,NCDS58,response_1958_2013,multcode,Corresponding multiple idedntifier,-1.0,Not applicable
1050609,NCDS58,response_1958_2013,ethnicid,Cohort Member Ethnic Group - 6 category Census class,-1.0,Not known
1050610,NCDS58,response_1958_2013,ethnicid,Cohort Member Ethnic Group - 6 category Census class,1.0,White
1050611,NCDS58,response_1958_2013,ethnicid,Cohort Member Ethnic Group - 6 category Census class,2.0,Mixed
1050612,NCDS58,response_1958_2013,ethnicid,Cohort Member Ethnic Group - 6 category Census class,3.0,Indian
1050613,NCDS58,response_1958_2013,ethnicid,Cohort Member Ethnic Group - 6 category Census class,4.0,Pakistani and Bangladeshi
1050614,NCDS58,response_1958_2013,ethnicid,Cohort Member Ethnic Group - 6 category Census class,5.0,Black or Black British
1050615,NCDS58,response_1958_2013,ethnicid,Cohort Member Ethnic Group - 6 category Census class,6.0,"Other Ethnic group (inc Chinese,Other)"
1050616,NCDS58,response_1958_2013,outcme00,Outcome to PMS (1958),1.0,Productive
1050617,NCDS58,response_1958_2013,outcme00,Outcome to PMS (1958),2.0,Refusal
1050618,NCDS58,response_1958_2013,outcme00,Outcome to PMS (1958),3.0,Non-contact
1050619,NCDS58,response_1958_2013,outcme00,Outcome to PMS (1958),4.0,Other unproductive
1050620,NCDS58,response_1958_2013,outcme00,Outcome to PMS (1958),5.0,Ineligible
1050621,NCDS58,response_1958_2013,outcme00,Outcome to PMS (1958),6.0,Not Issued
1050622,NCDS58,response_1958_2013,outcme00,Outcome to PMS (1958),7.0,Not Issued - Emigrant
1050623,NCDS58,response_1958_2013,outcme00,Outcome to PMS (1958),8.0,Not Issued - Dead
1050624,NCDS58,response_1958_2013,outcme01,Outcome to NCDS1 (1965),1.0,Productive
1050625,NCDS58,response_1958_2013,outcme01,Outcome to NCDS1 (1965),2.0,Refusal
1050626,NCDS58,response_1958_2013,outcme01,Outcome to NCDS1 (1965),3.0,Non-contact
1050627,NCDS58,response_1958_2013,outcme01,Outcome to NCDS1 (1965),4.0,Other unproductive
1050628,NCDS58,response_1958_2013,outcme01,Outcome to NCDS1 (1965),5.0,Ineligible
1050629,NCDS58,response_1958_2013,outcme01,Outcome to NCDS1 (1965),6.0,Not Issued
1050630,NCDS58,response_1958_2013,outcme01,Outcome to NCDS1 (1965),7.0,Not Issued - Emigrant
1050631,NCDS58,response_1958_2013,outcme01,Outcome to NCDS1 (1965),8.0,Not Issued - Dead
1050632,NCDS58,response_1958_2013,outcme02,Outcome to NCDS2 (1969),1.0,Productive
1050633,NCDS58,response_1958_2013,outcme02,Outcome to NCDS2 (1969),2.0,Refusal
1050634,NCDS58,response_1958_2013,outcme02,Outcome to NCDS2 (1969),3.0,Non-contact
1050635,NCDS58,response_1958_2013,outcme02,Outcome to NCDS2 (1969),4.0,Other unproductive
1050636,NCDS58,response_1958_2013,outcme02,Outcome to NCDS2 (1969),5.0,Ineligible
1050637,NCDS58,response_1958_2013,outcme02,Outcome to NCDS2 (1969),6.0,Not Issued
1050638,NCDS58,response_1958_2013,outcme02,Outcome to NCDS2 (1969),7.0,Not Issued - Emigrant
1050639,NCDS58,response_1958_2013,outcme02,Outcome to NCDS2 (1969),8.0,Not Issued - Dead
1050640,NCDS58,response_1958_2013,outcme03,Outcome to NCDS3 (1974),1.0,Productive
