variable_name,value_value,value_label,avail_from_dt,table_name
N622,-1,Not known,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
N622,1,Male,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
N622,2,Female,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
BSTATUS,0,Alive after 28 days,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
BSTATUS,1,Stillborn,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
BSTATUS,2,Neonatal Death,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
COBIRTH,1,England,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
COBIRTH,2,Wales,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
COBIRTH,3,Scotland,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
COBIRTH,4,Great Britain,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
COBIRTH,9,Not in Great Britain,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
MULTIPNO,-1,Not applicable,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
MULTIPNO,1,First,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
MULTIPNO,2,Second,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
MULTIPNO,3,Third,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
MULTCODE,-1,Not applicable,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
ETHNICID,-1,Not known,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
ETHNICID,1,White,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
ETHNICID,2,Mixed,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
ETHNICID,3,Indian,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
ETHNICID,4,Pakistani and Bangladeshi,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
ETHNICID,5,Black or Black British,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
ETHNICID,6,"Other Ethnic group (inc Chinese,Other)",2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
OUTCME00,1,Productive,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
OUTCME00,2,Refusal,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
OUTCME00,3,Non-contact,2022-01-08 14:03:26.787,response_1958_2013_v0001_20211101
