,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1057666,NEXTSTEP,COVID_w3,study_id_e,,,
1057667,NEXTSTEP,COVID_w3,cw3_cnum00,Cohort Member number within an MCS family,-1.0,Not applicable
1057668,NEXTSTEP,COVID_w3,cw3_cnum00,Cohort Member number within an MCS family,1.0,1st Cohort Member of the family
1057669,NEXTSTEP,COVID_w3,cw3_cnum00,Cohort Member number within an MCS family,2.0,2nd Cohort Member of the family
1057670,NEXTSTEP,COVID_w3,cw3_cnum00,Cohort Member number within an MCS family,3.0,3rd Cohort Member of the family
1057671,NEXTSTEP,COVID_w3,cw3_pnum00,Person number within an MCS family (excl Cohort Members,-1.0,Not applicable
1057672,NEXTSTEP,COVID_w3,cw3_cohort,Cohort group of respondent,-1.0,Not Applicable
1057673,NEXTSTEP,COVID_w3,cw3_cohort,Cohort group of respondent,1.0,NCDS
1057674,NEXTSTEP,COVID_w3,cw3_cohort,Cohort group of respondent,2.0,BCS70
1057675,NEXTSTEP,COVID_w3,cw3_cohort,Cohort group of respondent,3.0,Next Steps
1057676,NEXTSTEP,COVID_w3,cw3_cohort,Cohort group of respondent,4.0,MCS CM
1057677,NEXTSTEP,COVID_w3,cw3_cohort,Cohort group of respondent,5.0,MCS Parent
1057678,NEXTSTEP,COVID_w3,cw3_cohort,Cohort group of respondent,6.0,NSHD
1057679,NEXTSTEP,COVID_w3,cw3_psex,Sex of respondent,-1.0,Not Applicable
1057680,NEXTSTEP,COVID_w3,cw3_psex,Sex of respondent,1.0,Male
1057681,NEXTSTEP,COVID_w3,cw3_psex,Sex of respondent,2.0,Female
1057682,NEXTSTEP,COVID_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),-1.0,Not Applicable
1057683,NEXTSTEP,COVID_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),1.0,Yes
1057684,NEXTSTEP,COVID_w3,cw3_emigrant,Recorded as Emigrant (based on COUNTRES),2.0,No
1057685,NEXTSTEP,COVID_w3,cw3_enddated,Date in 2021 of survey completion,-9.0,Don't want to answer
1057686,NEXTSTEP,COVID_w3,cw3_enddated,Date in 2021 of survey completion,-8.0,Donâ€™t Know
1057687,NEXTSTEP,COVID_w3,cw3_enddated,Date in 2021 of survey completion,-1.0,Not Applicable
1057688,NEXTSTEP,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-9.0,Don't want to answer
1057689,NEXTSTEP,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-8.0,Donâ€™t Know
1057690,NEXTSTEP,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),-1.0,Not Applicable
1057691,NEXTSTEP,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),2.0,February
1057692,NEXTSTEP,COVID_w3,cw3_enddatem,Month in 2021 of survey completion (February or March),3.0,March
1057693,NEXTSTEP,COVID_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,1.0,Productive
1057694,NEXTSTEP,COVID_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,2.0,Partially productive
1057695,NEXTSTEP,COVID_w3,cw3_outcome,Outcome for Covid19 wave 3 survey,3.0,Unproductive
1057696,NEXTSTEP,COVID_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,0.0,Unproductive
1057697,NEXTSTEP,COVID_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,1.0,Productive
1057698,NEXTSTEP,COVID_w3,cw3_w1outcome,Took part in Covid19 wave 1 survey,2.0,Partially Productive
1057699,NEXTSTEP,COVID_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,0.0,Unproductive
1057700,NEXTSTEP,COVID_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,1.0,Productive
1057701,NEXTSTEP,COVID_w3,cw3_w2outcome,Took part in Covid19 wave 2 survey,2.0,Partially Productive
1057702,NEXTSTEP,COVID_w3,cw3_mode,Survey Mode (Web or Telephone),-1.0,Not Applicable
1057703,NEXTSTEP,COVID_w3,cw3_mode,Survey Mode (Web or Telephone),1.0,CAWI
1057704,NEXTSTEP,COVID_w3,cw3_mode,Survey Mode (Web or Telephone),2.0,CATI
1057705,NEXTSTEP,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,-9.0,Don't want to answer
1057706,NEXTSTEP,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,-8.0,Don't Know
1057707,NEXTSTEP,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,-1.0,Not Applicable
1057708,NEXTSTEP,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,1.0,"Yes, confirmed by a positive test"
1057709,NEXTSTEP,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,2.0,"Yes, based on strong personal suspicion or medical advice"
1057710,NEXTSTEP,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,3.0,Unsure
1057711,NEXTSTEP,COVID_w3,cw3_covid19,Whether Respondent has had Coronavirus,4.0,No
1057712,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,-9.0,Don't want to answer
1057713,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,-8.0,Donâ€™t Know
1057714,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,-1.0,Not Applicable
1057715,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,1.0,February 2020 or earlier
1057716,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,2.0,March 2020
1057717,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,3.0,April 2020
1057718,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,4.0,May 2020
1057719,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,5.0,June 2020
1057720,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,6.0,July 2020
1057721,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,7.0,August 2020
1057722,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,8.0,September 2020
1057723,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,9.0,October 2020
1057724,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,10.0,November 2020
1057725,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,11.0,December 2020
1057726,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,12.0,January 2021
1057727,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,13.0,February 2021
1057728,NEXTSTEP,COVID_w3,cw3_covid19pos,When had coronavirus,14.0,March 2021
1057729,NEXTSTEP,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-9.0,Don't want to answer
1057730,NEXTSTEP,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-8.0,Donâ€™t Know
1057731,NEXTSTEP,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,-1.0,Not Applicable
1057732,NEXTSTEP,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,1.0,Yes
1057733,NEXTSTEP,COVID_w3,cw3_covidadv_1,Past 2 weeks whether discussed COVID19 symptoms: with doctor/practice nurse,2.0,No
1057734,NEXTSTEP,COVID_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-9.0,Don't want to answer
1057735,NEXTSTEP,COVID_w3,cw3_covidadv_2,Past 2 weeks whether discussed COVID19 symptoms: with NHS 111 or NHS 24,-8.0,Donâ€™t Know
