variable_name,value_value,value_label,avail_from_dt,table_name
CS_COHORT,1,NCDS,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COHORT,2,BCS70,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COHORT,3,Next Steps,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COHORT,4,MCS CM,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COHORT,5,MCS Parent,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,1,January,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,2,February,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,3,March,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,4,April,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,5,May,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,6,June,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,7,July,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,8,August,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,9,September,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,10,October,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,11,November,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_PROCESSDATEM,12,December,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVN_RESULT,-8,Void,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVN_RESULT,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVN_RESULT,1,Positive,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVN_RESULT,2,Negative,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVS_VALUE,-8,No information,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVS_VALUE,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVS_RESULT,-8,Void,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVS_RESULT,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVS_RESULT,1,Positive,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COVS_RESULT,2,Negative,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COV_RESULT,-8,Void,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COV_RESULT,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COV_RESULT,1,Positive,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_COV_RESULT,2,Negative,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,-9,Don't want to answer,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,-8,Don't know,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,1,January,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,2,February,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,3,March,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,4,April,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,5,May,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,6,June,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,7,July,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,8,August,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,9,September,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,10,October,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,11,November,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_SURDATM,12,December,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_BEENVAC,-9,Don't want to answer,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_BEENVAC,-8,Don't know,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_BEENVAC,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_BEENVAC,1,Yes,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_BEENVAC,2,No,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_NUMJAB,-9,Don't want to answer,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_NUMJAB,-8,Don't know,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_NUMJAB,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_NUMJAB,1,One,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_NUMJAB,2,Two,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACTYP,-9,Don't want to answer,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACTYP,-8,Don't know,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACTYP,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACTYP,1,Oxford/AstraZeneca,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACTYP,2,Pfizer/BioNTech,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACTYP,3,Something else (incl. Moderna),2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT1,-9,Don't want to answer,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT1,-8,Don't know,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT1,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT1,1,December 2020 - January 2021,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT1,2,February 2021,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT1,3,March 2021 or later,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT2,-9,Don't want to answer,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT2,-8,Don't know,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT2,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT2,1,December 2020 - February 2021,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACDAT2,2,March 2021 or later,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACFLAG,0,No,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACFLAG,1,First vaccine after survey date,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VACFLAG,2,Second vaccine after survey date,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VVTIMED,-8,No information,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_VVTIMED,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_V1PTIMED,-8,No information,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_V1PTIMED,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_V2PTIMED,-8,No information,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
CS_V2PTIMED,-1,Not applicable,2022-01-10 00:17:08.043,Covid_19_Serology_v0001_20211101
