variable_name,variable_label,avail_from_dt,table_name
LLC_ID,Cohort member anonymised ID for LLC,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
w8qmafi,How managing financially these days,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
w8numrooms,Number of rooms in current home,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
w8jobdosoccode,SOC 2010 code,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8ANYCHPRES,DV: Whether any children live in the household â€“ all or some of the time,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W1ethgrpYP,DV: Young person's ethnic group (grouped),2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W1nssecmum,DV: Mother's NS-SEC class,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W1nssecdad,DV: Father's NS-SEC class,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W1hiqualgmum,DV: Mother's highest qualification (grouped),2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W1hiqualgdad,DV: Father's highest qualification (grouped),2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8BDATM,Month of birth,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8BDATY,Year of birth,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8INTMTH,Date of interview: month,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8INTYEAR,Date of interview: year,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8DHANVQH,DV: Highest NVQ level from an academic qualification to 2015,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8DNSSEC8,DV: NS-SEC (2010) 7 (Analytic classes),2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8DNSSEC5,DV: NS-SEC (2010) 5 (Analytic classes),2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8DACTIVITYC,DV: Current activity of CM - backcoded,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8DWRK,DV: Whether CM currently employed - backcoded,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8DINCB,DV: Banded weekly income,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8TENURE,Tenure,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8NUMPAR,DV: Number of parents lived with,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8NRANY,Currently cohabiting,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8PELS,Other adults or children who live here all or some of the time,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8DOHMANY,Number of others who live here all or some of the time,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
W8CRNOWMA,Relationship status,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
w8activityc,Main current activity,2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
w8dhsize,DV: Number of people currently living in household (inc CM),2022-01-10 00:07:27.550,basic_demographic_data_v0001_20211101
