,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1061756,NEXTSTEP,longitudinal_index_file,study_id_e,,,
1061757,NEXTSTEP,longitudinal_index_file,hhid,DV: Time constant person number,-999.0,Missing household information
1061758,NEXTSTEP,longitudinal_index_file,w1hhresp,W1: Whether there is household information for this person,-994.0,Boost cases not yet in sample
1061759,NEXTSTEP,longitudinal_index_file,w1hhresp,W1: Whether there is household information for this person,-993.0,Not yet joined household
1061760,NEXTSTEP,longitudinal_index_file,w1hhresp,W1: Whether there is household information for this person,-94.0,Insufficient information
1061761,NEXTSTEP,longitudinal_index_file,w1hhresp,W1: Whether there is household information for this person,0.0,No grid response in this wave
1061762,NEXTSTEP,longitudinal_index_file,w1hhresp,W1: Whether there is household information for this person,1.0,HH grid response in this wave
1061763,NEXTSTEP,longitudinal_index_file,w2hhresp,W2: Whether there is household information for this person,-994.0,Boost cases not yet in sample
1061764,NEXTSTEP,longitudinal_index_file,w2hhresp,W2: Whether there is household information for this person,-993.0,Not yet joined household
1061765,NEXTSTEP,longitudinal_index_file,w2hhresp,W2: Whether there is household information for this person,-94.0,Insufficient information
1061766,NEXTSTEP,longitudinal_index_file,w2hhresp,W2: Whether there is household information for this person,0.0,No grid response in this wave
1061767,NEXTSTEP,longitudinal_index_file,w2hhresp,W2: Whether there is household information for this person,1.0,HH grid response in this wave
1061768,NEXTSTEP,longitudinal_index_file,w3hhresp,W3: Whether there is household information for this person,-994.0,Boost cases not yet in sample
1061769,NEXTSTEP,longitudinal_index_file,w3hhresp,W3: Whether there is household information for this person,-993.0,Not yet joined household
1061770,NEXTSTEP,longitudinal_index_file,w3hhresp,W3: Whether there is household information for this person,-94.0,Insufficient information
1061771,NEXTSTEP,longitudinal_index_file,w3hhresp,W3: Whether there is household information for this person,0.0,No grid response in this wave
1061772,NEXTSTEP,longitudinal_index_file,w3hhresp,W3: Whether there is household information for this person,1.0,HH grid response in this wave
1061773,NEXTSTEP,longitudinal_index_file,w4hhresp,W4: Whether there is household information for this person,-993.0,Not yet joined household
1061774,NEXTSTEP,longitudinal_index_file,w4hhresp,W4: Whether there is household information for this person,-94.0,Insufficient information
1061775,NEXTSTEP,longitudinal_index_file,w4hhresp,W4: Whether there is household information for this person,0.0,No grid response in this wave
1061776,NEXTSTEP,longitudinal_index_file,w4hhresp,W4: Whether there is household information for this person,1.0,HH grid response in this wave
1061777,NEXTSTEP,longitudinal_index_file,w5hhresp,W5: Whether there is household information for this person,-993.0,Not yet joined household
1061778,NEXTSTEP,longitudinal_index_file,w5hhresp,W5: Whether there is household information for this person,-94.0,Insufficient information
1061779,NEXTSTEP,longitudinal_index_file,w5hhresp,W5: Whether there is household information for this person,0.0,No grid response in this wave
1061780,NEXTSTEP,longitudinal_index_file,w5hhresp,W5: Whether there is household information for this person,1.0,HH grid response in this wave
1061781,NEXTSTEP,longitudinal_index_file,w6hhresp,W6: Whether there is household information for this person,-993.0,Not yet joined household
1061782,NEXTSTEP,longitudinal_index_file,w6hhresp,W6: Whether there is household information for this person,-94.0,Insufficient information
1061783,NEXTSTEP,longitudinal_index_file,w6hhresp,W6: Whether there is household information for this person,0.0,No grid response in this wave
1061784,NEXTSTEP,longitudinal_index_file,w6hhresp,W6: Whether there is household information for this person,1.0,HH grid response in this wave
1061785,NEXTSTEP,longitudinal_index_file,hdobm,Month of birth,-999.0,Missing HH data
1061786,NEXTSTEP,longitudinal_index_file,hdobm,Month of birth,-989.0,New member at W5 or W6 - information not available
1061787,NEXTSTEP,longitudinal_index_file,hdobm,Month of birth,-94.0,Insufficient Info
1061788,NEXTSTEP,longitudinal_index_file,hdobm,Month of birth,-92.0,Refused
1061789,NEXTSTEP,longitudinal_index_file,hdobm,Month of birth,-91.0,Not Applicable
1061790,NEXTSTEP,longitudinal_index_file,hdobm,Month of birth,-1.0,Don't know
1061791,NEXTSTEP,longitudinal_index_file,hdoby,Year of birth,-999.0,Missing HH data
1061792,NEXTSTEP,longitudinal_index_file,hdoby,Year of birth,-989.0,New member at W5 or W6 - information not available
1061793,NEXTSTEP,longitudinal_index_file,hdoby,Year of birth,-94.0,Insufficient Info
1061794,NEXTSTEP,longitudinal_index_file,hdoby,Year of birth,-92.0,Refused
1061795,NEXTSTEP,longitudinal_index_file,hdoby,Year of birth,-91.0,Not Applicable
