variable_name,value_value,value_label,avail_from_dt,table_name
W1InCarHH,-999,Household grid missing,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InCarHH,-92,Refused,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InCarHH,-91,Not applicable,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InCarHH,1,Private household,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InCarHH,2,Hotel/ B&B,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InCarHH,3,Institution,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InCarHH,4,Other answers,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,-92,Refused,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,-91,Not applicable,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,-1,Don't know,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,1,Children's Home or hostel,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,2,Other type of residential care home,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,3,NHS/Health trust or other establishment providing nursing ca,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,4,Family centre or mother and baby unit,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,5,Youth treatment centre (Glenthorne),2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,6,Young offender institution or prison,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1InTypHH,7,Other,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,-999,Household grid missing,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,-92,Refused,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,-91,Not applicable,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,-1,Don't know,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,1,Owned outright,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,2,Being bought on a mortgage/ bank loan,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,3,Shared ownership (owns & rents property),2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,4,Rented from a Council or New Town,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,5,Rented from a Housing Association,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,6,Rented privately,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,7,Rent free,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1hous12HH,8,Some other arrangement,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1usevcHH,-92,Refused,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1usevcHH,-91,Not applicable,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1usevcHH,-1,Don't know,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1usevcHH,1,Yes,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1usevcHH,2,No,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1vehnoHH,-998,Interviewer missed question,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1vehnoHH,-92,Refused,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1vehnoHH,-91,Not applicable,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1vehnoHH,-1,Don't Know,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1condur4MP,-99,MP not interviewed,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1condur4MP,-92,Refused,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1condur4MP,-91,Not applicable,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1condur4MP,-1,Don't know,2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
W1condur4MP,1,"Yes, fixed telephone only",2022-01-10 00:59:28.953,ns1_family_background_v0001_20211101
