variable_name,value_value,value_label,avail_from_dt,table_name
W2pareveMP,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,1,Yes - respondent and partner/ husband/ wife have gone,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,2,Yes - respondent went alone,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,3,Yes - respondent's partner/ husband/ wife went alone,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,4,Yes - Respondent and EX-partner/husband/wife have gone,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,5,Yes - Respondent's EX-partner/husband/wife went alone,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2pareveMP,6,No - nobody has been,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tmeetfMP,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tmeetfMP,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tmeetfMP,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tmeetfMP,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tmeetfMP,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tmeetfMP,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tmeetfMP,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tmeetfMP,1,Yes,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tmeetfMP,2,No,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,1,At least once a week,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,2,Every two or three weeks,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,3,At least once a term,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,4,Less often than once a term,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2tspeakMP,5,Never,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,1,Very involved,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,2,Fairly involved,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,3,Not very involved,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2schlifMP,4,or Not at all involved?,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs1MP,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs1MP,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs1MP,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs1MP,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs1MP,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs1MP,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs1MP,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs1MP,1,Yes,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs1MP,2,No,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs2MP,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs2MP,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs2MP,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs2MP,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs2MP,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs2MP,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs2MP,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs2MP,1,Yes,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2vocs2MP,2,No,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu1MP,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu1MP,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu1MP,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu1MP,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu1MP,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu1MP,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu1MP,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu1MP,1,Yes,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu1MP,2,No,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0a,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0a,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0a,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0a,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0a,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0a,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0a,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0a,0,Not mentioned,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0a,1,Mentioned,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0b,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0b,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0b,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0b,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0b,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0b,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0b,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0b,0,Not mentioned,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0b,1,Mentioned,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0c,-998,Interviewer missed question,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0c,-997,Script error,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0c,-995, Missing history section data - unexplained,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0c,-99,MP not interviewed,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0c,-92,Refused,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0c,-91,Not applicable,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0c,-1,Don't Know,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0c,0,Not mentioned,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
W2extrtu2MP0c,1,Mentioned,2022-01-10 02:58:58.827,ns2_parental_attitudes_v0001_20211101
