,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1118926,NEXTSTEP,ns3_family_background,study_id_e,,,
1118927,NEXTSTEP,ns3_family_background,samppsu,Sampling: School (primary sampling unit),,
1118928,NEXTSTEP,ns3_family_background,sampstratum,Sampling: Stratum,,
1118929,NEXTSTEP,ns3_family_background,w2tow3nrwt,Weight: Non-response weight from Wave 2 to Wave 3,-91.0,Not applicable
1118930,NEXTSTEP,ns3_family_background,w3finwt,Weight: W3 final weight (w2 final weight * w3 non-response weight),,
1118931,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,-999.0,HH grid missing
1118932,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,-997.0,Script error
1118933,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,-99.0,
1118934,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,-92.0,Refused
1118935,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,-91.0,Not applicable
1118936,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,1.0,Person 1
1118937,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,2.0,Person 2
1118938,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,3.0,Person 3
1118939,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,4.0,Person 4
1118940,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,5.0,Person 5
1118941,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,6.0,Person 6
1118942,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,7.0,Person 7
1118943,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,8.0,Person 8
1118944,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,9.0,Person 9
1118945,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,10.0,Person 10
1118946,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,11.0,Person 11
1118947,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,12.0,Person 12
1118948,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,13.0,Person 13
1118949,NEXTSTEP,ns3_family_background,w3mainres,HH: Main parent position,14.0,Person 14
