variable_name,value_value,value_label,avail_from_dt,table_name
W3fefn2MP0j,-92,Refused,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3fefn2MP0j,-91,Not applicable,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3fefn2MP0j,0,Not mentioned,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3fefn2MP0j,1,Mentioned,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3fefn2MP0k,-99,MP not interviewed,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3fefn2MP0k,-92,Refused,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3fefn2MP0k,-91,Not applicable,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3fefn2MP0k,0,Not mentioned,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3fefn2MP0k,1,Mentioned,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3tranaftMP,-997,Script error,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3tranaftMP,-99,MP not interviewed,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3tranaftMP,-92,Refused,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3tranaftMP,-91,Not applicable,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3tranaftMP,-1,Don't know,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3tranaftMP,1,Stay on in full time education,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3tranaftMP,2,Leave full time education,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3tranaftMP,3,Does not currently have a transition plan,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3transtaMP0a,-99,MP not interviewed,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3transtaMP0a,-92,Refused,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3transtaMP0a,-91,Not applicable,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3transtaMP0a,0,Not mentioned,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
W3transtaMP0a,1,Mentioned,2022-01-10 03:38:05.347,ns3_parental_attitudes_v0001_20211101
