variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4hhid,Admin: Household ID,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4boost,Admin: Whether this is a boost case,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4intmonth,Admin: Month of W4 interview,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4intyear,Admin: Year of W4 interview,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4SHGint,HH: Is this person still living here with young person,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4Mainres,HH: Main parent position,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4Secores,HH: Second parent position,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4Ylft,HH: Why household member no longer lives here with young person,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4NRSdoin,HH: What person is currently doing,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4NRSSAge,HH: Age sibling left education,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4NRSStyp,HH: What sort of school or college sibling is at now,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4Age,DV: Age of person at Wave 4 interview date,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4Sex,HH: Sex of this person,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4Newy,HH: Year new person started living with young person,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4Newm,HH: Month new person started living with young person,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4MarStat,HH: Marital status of this person,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4LiveWit,HH: Whether this person living with someone in the household as a couple,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4EmpStat,HH: Employment status of this person,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4EthGrp,DV: Ethnic group of this person (grouped),2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_1,HH: Relationship to household member 1,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_2,HH: Relationship to household member 2,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_3,HH: Relationship to household member 3,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_4,HH: Relationship to household member 4,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_5,HH: Relationship to household member 5,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_6,HH: Relationship to household member 6,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_7,HH: Relationship to household member 7,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_8,HH: Relationship to household member 8,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_9,HH: Relationship to household member 9,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_10,HH: Relationship to household member 10,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_11,HH: Relationship to household member 11,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_12,HH: Relationship to household member 12,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_13,HH: Relationship to household member 13,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_14,HH: Relationship to household member 14,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_15,HH: Relationship to household member 15,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_16,HH: Relationship to household member 16,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_17,HH: Relationship to household member 17,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_18,HH: Relationship to household member 18,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_19,HH: Relationship to household member 19,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4R_20,HH: Relationship to household member 20,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
W4StypeE,HH: Age sibling left education,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
V3,None,2022-01-10 04:07:09.333,ns4_household_grid_v0001_20211101
