variable_name,value_value,value_label,avail_from_dt,table_name
W4R_13,2,Partner/ Cohabitee,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,3,Natural son/ daughter,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,4,Adopted son/ daughter,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,5,Foster child,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,6,Step-son/ Step-daughter,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,7,Son-in-law/ Daughter-in-law,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,8,Natural parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,9,Adoptive parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,10,Foster parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,11,Step-parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,12,Parent-in-law/ Partner's parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,13,Natural brother/ sister,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,14,Half-brother/ -sister,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,15,Step-brother/ -sister,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,16,Adopted brother/ sister,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,17,Foster brother/ Foster sister,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,18,Brother-in-law/ Sister-in-law,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,19,Grandchild,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,20,Grandparent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,21,Other relative,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,22,Other non-relative,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_13,23,Refused,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,-999,Household grid missing,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,-92,Refused,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,-91,Not applicable,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,-1,Don't know,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,1,Husband/ Wife,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,2,Partner/ Cohabitee,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,3,Natural son/ daughter,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,4,Adopted son/ daughter,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,5,Foster child,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,6,Step-son/ Step-daughter,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,7,Son-in-law/ Daughter-in-law,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,8,Natural parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,9,Adoptive parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,10,Foster parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,11,Step-parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,12,Parent-in-law/ Partner's parent,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,13,Natural brother/ sister,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,14,Half-brother/ -sister,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
W4R_14,15,Step-brother/ -sister,2022-01-10 04:10:23.513,ns4_household_grid_v0001_20211101
