,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1139894,NEXTSTEP,ns4_parental_attitudes,study_id_e,,,
1139895,NEXTSTEP,ns4_parental_attitudes,w4weight_main_boost,Weight: Cross-sectional weight for main and boost sample respondents,-91.0,Not applicable
1139896,NEXTSTEP,ns4_parental_attitudes,w4weight_main,Weight: Longitudinal weight for W1 to W4 respondents,-91.0,Not applicable
1139897,NEXTSTEP,ns4_parental_attitudes,samppsu,Sampling: School (primary sampling unit),-91.0,Not applicable
1139898,NEXTSTEP,ns4_parental_attitudes,sampstratum,Sampling: Stratum,-91.0,Not applicable
1139899,NEXTSTEP,ns4_parental_attitudes,w4boost,Admin: Whether this is a boost respondent,1.0,Yes
1139900,NEXTSTEP,ns4_parental_attitudes,w4boost,Admin: Whether this is a boost respondent,2.0,No
1139901,NEXTSTEP,ns4_parental_attitudes,w4intmonth,Admin: Month of W4 interview,-999.0,Missing information
1139902,NEXTSTEP,ns4_parental_attitudes,w4intmonth,Admin: Month of W4 interview,6.0,June
1139903,NEXTSTEP,ns4_parental_attitudes,w4intmonth,Admin: Month of W4 interview,7.0,July
1139904,NEXTSTEP,ns4_parental_attitudes,w4intmonth,Admin: Month of W4 interview,8.0,August
1139905,NEXTSTEP,ns4_parental_attitudes,w4intmonth,Admin: Month of W4 interview,9.0,September
1139906,NEXTSTEP,ns4_parental_attitudes,w4intmonth,Admin: Month of W4 interview,10.0,October
1139907,NEXTSTEP,ns4_parental_attitudes,w4intyear,Admin: Year of W4 interview,-999.0,Missing information
1139908,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,-996.0,No Parent in household
1139909,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,-99.0,MP not interviewed
1139910,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,-92.0,Refused
1139911,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,-91.0,Not applicable
1139912,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,-1.0,Don't know
1139913,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,1.0,Very good
1139914,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,2.0,Fairly good
1139915,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,3.0,Neither good nor bad
1139916,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,4.0,Fairly bad
1139917,NEXTSTEP,ns4_parental_attitudes,w4kidskolmp,MP: Overall quality of YP's school in Year 11,5.0,Very bad
1139918,NEXTSTEP,ns4_parental_attitudes,w4tmeetfmp,MP: Whether MP had specially arranged meetings with teachers,-996.0,No Parent in household
1139919,NEXTSTEP,ns4_parental_attitudes,w4tmeetfmp,MP: Whether MP had specially arranged meetings with teachers,-99.0,MP not interviewed
1139920,NEXTSTEP,ns4_parental_attitudes,w4tmeetfmp,MP: Whether MP had specially arranged meetings with teachers,-92.0,Refused
1139921,NEXTSTEP,ns4_parental_attitudes,w4tmeetfmp,MP: Whether MP had specially arranged meetings with teachers,-91.0,Not applicable
1139922,NEXTSTEP,ns4_parental_attitudes,w4tmeetfmp,MP: Whether MP had specially arranged meetings with teachers,-1.0,Don't know
1139923,NEXTSTEP,ns4_parental_attitudes,w4tmeetfmp,MP: Whether MP had specially arranged meetings with teachers,1.0,Yes
1139924,NEXTSTEP,ns4_parental_attitudes,w4tmeetfmp,MP: Whether MP had specially arranged meetings with teachers,2.0,No
1139925,NEXTSTEP,ns4_parental_attitudes,w4tspeak2mp,MP: Whether MP talked to teachers about what YP might do after Year 11,-996.0,No Parent in household
1139926,NEXTSTEP,ns4_parental_attitudes,w4tspeak2mp,MP: Whether MP talked to teachers about what YP might do after Year 11,-99.0,MP not interviewed
1139927,NEXTSTEP,ns4_parental_attitudes,w4tspeak2mp,MP: Whether MP talked to teachers about what YP might do after Year 11,-92.0,Refused
1139928,NEXTSTEP,ns4_parental_attitudes,w4tspeak2mp,MP: Whether MP talked to teachers about what YP might do after Year 11,-91.0,Not applicable
1139929,NEXTSTEP,ns4_parental_attitudes,w4tspeak2mp,MP: Whether MP talked to teachers about what YP might do after Year 11,-1.0,Don't know
1139930,NEXTSTEP,ns4_parental_attitudes,w4tspeak2mp,MP: Whether MP talked to teachers about what YP might do after Year 11,1.0,Yes
