variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Weight_MAIN_BOOST,Weight: Cross-sectional weight for main and boost sample respondents,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Weight_MAIN,Weight: Longitudinal weight for W1 to W4 respondents,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
SampPSU,Sampling: School (primary sampling unit),2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
SampStratum,Sampling: Stratum,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Boost,Admin: Whether this is a boost respondent,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4intmonth,Admin: Month of W4 interview,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4intyear,Admin: Year of W4 interview,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4KidskolMP,MP: Overall quality of YP's school in Year 11,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4TmeetFMP,MP: Whether MP had specially arranged meetings with teachers,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4TSpeak2MP,MP: Whether MP talked to teachers about what YP might do after Year 11,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4TStayMP,MP: Whether MP talked to teachers about YP staying on in education after Year 11,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4TStayDefMP,MP: Whether teacher advised MP that YP should stay on in education after Year 11,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4TappMP,MP: Whether MP talked to teachers about YP applying for a training place/apprenticeship after the end of Year 11,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4TAppDefMP,MP: Whether teacher advised MP that YP should apply for a training place/apprenticeship after the end of Year 11,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4SchlifMP,MP: How involved MP felt in YP's school life,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4TeawelMP,MP: Agreement with statement : I found it easy to deal with people at YP's school in year 11,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4TeacleaMP,MP: Agreement with statement : YP's school gave me clear information on how he/she was getting on in year 11,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4TeainvMP,MP: Agreement with statement : YP's school made it easy for me to get involved in his/her education in year 11,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu1MP,MP: Whether in the last twelve months MP has paid for YP to have private classes in subjects also taught at YP's school,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0a,MP: Subjects paid for YP to have additional private lessons in: Maths,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0b,MP: Subjects paid for YP to have additional private lessons in: English,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0c,MP: Subjects paid for YP to have additional private lessons in: Languages,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0d,MP: Subjects paid for YP to have additional private lessons in: Science,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0e,MP: Subjects paid for YP to have additional private lessons in: Music,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0f,MP: Subjects paid for YP to have additional private lessons in: Dance,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0h,MP: Subjects paid for YP to have additional private lessons in: Speech and/or drama,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0i,MP: Subjects paid for YP to have additional private lessons in: Religious activity,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0j,MP: Subjects paid for YP to have additional private lessons in: Sports,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0k,MP: Subjects paid for YP to have additional private lessons in: Horse riding,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0l,MP: Subjects paid for YP to have additional private lessons in: Driving lessons,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0m,MP: Subjects paid for YP to have additional private lessons in: Other answers,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu2MP0n,MP: Subjects paid for YP to have additional private lessons in: Don't know,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu3MP,MP: Frequency of YP's private lessons/ classes (covered at school),2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu4MP,MP: Whether paid for YP to have private lessons/ classes in subjects NOT covered at school,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0a,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Music,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0b,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Dance,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0c,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Languages,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0d,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Speech and/or drama,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0e,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Religious activity,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0f,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Sport,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0g,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Maths,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0h,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - English,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0j,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Science,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0k,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Horse riding,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0l,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Driving lessons,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0m,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Other,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu5MP0n,MP: Which private lessons/ classes for YP paid for (NOT covered at school) - Don't know,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4Extrtu6MP,MP: Frequency of YP's private lessons/ classes (NOT covered at school),2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HepossMP,MP: Likelihood of YP going into Higher Education,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HePfinMP,MP: Whether MP (or partner) currently saving money or making financial arrangements to help pay for YP's university costs,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HeFFinMP,MP: Whether any other family members saving money or making other financial arrangements now to help pay for YP's HE costs,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HefinMP0a,MP: How MP thinks YPs university costs will be paid for : University scholarships or bursaries,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HefinMP0b,MP: How MP thinks YP's university costs will be paid for :He/she will get a job/work part-time,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HefinMP0c,MP: How MP thinks YP's university costs will be paid for : Parents will support/give money (including absent natural parents),2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HefinMP0d,MP: How MP thinks YP's university costs will be paid for : Other relatives will support/give money,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HefinMP0e,MP: How MP thinks YP's university costs will be paid for : Student loans he/she takes out,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HefinMP0f,MP: How MP thinks YP's university costs will be paid for : Some other means,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HefinMP0g,MP: How MP thinks YP's university costs will be paid for : Definitely won't go to university (UNPROMPTED),2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HefinMP0h,MP: How MP thinks YP's university costs will be paid for : Don't know,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0a,MP: How MP thinks parent(s) will support YP's HE costs: Save money now specifically for his/her education,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0b,MP: How MP thinks parent(s) will support YP's HE costs: Give money out of existing savings,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0c,MP: How MP thinks parent(s) will support YP's HE costs: Will support him/her out of wages/salary/earnings,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0d,MP: How MP thinks parent(s) will support YP's HE costs: Will take out a bank loan or re-mortgage,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0e,MP: How MP thinks parent(s) will support YP's HE costs: Will let him/her live at home during term time,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0f,MP: How MP thinks parent(s) will support YP's HE costs: Will buy or rent accommodation for him/her,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0g,MP: How MP thinks parent(s) will support YP's HE costs: Borrow money from other relatives or friends,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0h,MP: How MP thinks parent(s) will support YP's HE costs: Help in other ways,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0i,MP: How MP thinks parent(s) will support YP's HE costs: Definitely won't go to university (UNPROMPTED),2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0j,MP: How MP thinks parent(s) will support YP's HE costs: Won't need any help (UNPROMPTED),2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4HEfn2MP0k,MP: How MP thinks parent(s) will support YP's HE costs: Don't know,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4WhoPreMP0a,Admin: Who else present during MP section: No-one else present,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4WhoPreMP0b,Admin: Who else present during MP section: Respondent's partner,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4WhoPreMP0c,Admin: Who else present during MP section: Sampled young person,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4WhoPreMP0d,Admin: Who else present during MP section: Other adult living in household,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4WhoPreMP0e,Admin: Who else present during MP section: Other young person living in household,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
W4WhoPreMP0f,Admin: Who else present during MP section: Other adult/young person not living in household,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
V3,None,2022-01-10 04:52:42.427,ns4_parental_attitudes_v0001_20211101
