variable_name,value_value,value_label,avail_from_dt,table_name
W4Weight_MAIN_BOOST,-91,Not applicable,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4Weight_MAIN,-91,Not applicable,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
SampPSU,-91,Not applicable,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
SampStratum,-91,Not applicable,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4Boost,1,Yes,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4Boost,2,No,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4intmonth,-999,Missing information,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4intmonth,6,June,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4intmonth,7,July,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4intmonth,8,August,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4intmonth,9,September,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4intmonth,10,October,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4intyear,-999,Missing information,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4InSchoolMP,-996,No Parent in household,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4InSchoolMP,-99,MP not interviewed,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4InSchoolMP,-92,Refused,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4InSchoolMP,-91,Not applicable,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4InSchoolMP,-1,Don't know,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4InSchoolMP,1,Doing A levels or a similar course at a school or college,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4InSchoolMP,2,Doing an Apprenticeship or other type of training course,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4InSchoolMP,3,In a full-time paid job,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4InSchoolMP,4,Something else,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
W4SENMP,-996,No Parent in household,2022-01-10 04:49:30.373,ns4_v0001_2_20211101
