,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1145053,NEXTSTEP,ns5,study_id_e,,,
1145054,NEXTSTEP,ns5,w5finwt_cross,Weight: W5 cross-sectional weight including boost respondents,,
1145055,NEXTSTEP,ns5,samppsu,Admin: PSU Identfier for Analysis,-91.0,Not applicable
1145056,NEXTSTEP,ns5,sampstratum,Admin: Sampling Stratum identifier for Analysis,-91.0,Not applicable
1145057,NEXTSTEP,ns5,w5mode,Admin: Interview mode,1.0, CATI
1145058,NEXTSTEP,ns5,w5mode,Admin: Interview mode,2.0,CAPI
1145059,NEXTSTEP,ns5,w5mode,Admin: Interview mode,3.0,WEB
1145060,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,1.0, January
1145061,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,2.0,February
1145062,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,3.0,March
1145063,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,4.0,April
1145064,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,5.0,May
1145065,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,6.0,June
1145066,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,7.0,July
1145067,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,8.0,August
1145068,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,9.0,September
1145069,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,10.0,October
1145070,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,11.0,November
1145071,NEXTSTEP,ns5,w5intmonth,Admin: Interview month,12.0,December
1145072,NEXTSTEP,ns5,w5intyear,Admin: Interview year,,
1145073,NEXTSTEP,ns5,w5sexyp,Admin: Sex of respondent,-1.0, Don't know
1145074,NEXTSTEP,ns5,w5sexyp,Admin: Sex of respondent,1.0,Male
1145075,NEXTSTEP,ns5,w5sexyp,Admin: Sex of respondent,2.0,Female
1145076,NEXTSTEP,ns5,w5localareastatyp0a,YP: Agreement with statement - My local area is one where there's a good bus service,-92.0, Refused
1145077,NEXTSTEP,ns5,w5localareastatyp0a,YP: Agreement with statement - My local area is one where there's a good bus service,-91.0,Not applicable
1145078,NEXTSTEP,ns5,w5localareastatyp0a,YP: Agreement with statement - My local area is one where there's a good bus service,-1.0,Don't know
1145079,NEXTSTEP,ns5,w5localareastatyp0a,YP: Agreement with statement - My local area is one where there's a good bus service,1.0,Strongly agree
1145080,NEXTSTEP,ns5,w5localareastatyp0a,YP: Agreement with statement - My local area is one where there's a good bus service,2.0,Agree
1145081,NEXTSTEP,ns5,w5localareastatyp0a,YP: Agreement with statement - My local area is one where there's a good bus service,3.0,Disagree
1145082,NEXTSTEP,ns5,w5localareastatyp0a,YP: Agreement with statement - My local area is one where there's a good bus service,4.0,Strongly disagree
1145083,NEXTSTEP,ns5,w5localareastatyp0b,YP: Agreement with statement - There's a good range of shops in my local area,-92.0, Refused
1145084,NEXTSTEP,ns5,w5localareastatyp0b,YP: Agreement with statement - There's a good range of shops in my local area,-91.0,Not applicable
1145085,NEXTSTEP,ns5,w5localareastatyp0b,YP: Agreement with statement - There's a good range of shops in my local area,-1.0,Don't know
1145086,NEXTSTEP,ns5,w5localareastatyp0b,YP: Agreement with statement - There's a good range of shops in my local area,1.0,Strongly agree
1145087,NEXTSTEP,ns5,w5localareastatyp0b,YP: Agreement with statement - There's a good range of shops in my local area,2.0,Agree
1145088,NEXTSTEP,ns5,w5localareastatyp0b,YP: Agreement with statement - There's a good range of shops in my local area,3.0,Disagree
1145089,NEXTSTEP,ns5,w5localareastatyp0b,YP: Agreement with statement - There's a good range of shops in my local area,4.0,Strongly disagree
