,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1159772,NEXTSTEP,ns8_benefits,study_id_e,,,
1159773,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,1.0,Jobseekers allowance
1159774,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,2.0,Income Support
1159775,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,3.0,Incapacity Benefit
1159776,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,4.0,Employment and Support Allowance
1159777,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,5.0,Severe Disablement Allowance
1159778,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,6.0,Carer's Allowance
1159779,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,7.0,Disability Living Allowance/PIP
1159780,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,8.0,Return to work credit
1159781,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,9.0,Attendance Allowance
1159782,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,10.0,Industrial Injury Disablement Benefit
1159783,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,11.0,War Disablement Pension
1159784,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,12.0,Sickness and Accident Insurance
1159785,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,13.0,Other disability related payment
1159786,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,14.0,NI Pension or State Retirement Pension
1159787,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,15.0,Pension from a previous employer
1159788,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,16.0,Pension from spouse's previous employer
1159789,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,17.0,Pension Credit
1159790,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,18.0,Private pension or annuity
1159791,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,19.0,Widow's or War Widow's Pension
1159792,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,20.0,Widowed Mother/Parent/Bereavement Allow
1159793,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,21.0,Child Benefit
1159794,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,22.0,Working Tax Credit
1159795,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,23.0,Child Tax Credit
1159796,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,24.0,Foster/Guardian allowance
1159797,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,25.0,Maternity allowance
1159798,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,26.0,In-work Credit for Lone Parents
1159799,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,27.0,Statutory Maternity/Paternity/Adopt pay
1159800,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,28.0,Housing benefit
1159801,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,29.0,Council tax benefit
1159802,NEXTSTEP,ns8_benefits,w8benid,sortkey: benefit payment identifier,30.0,Other state benefit
1159803,NEXTSTEP,ns8_benefits,w8bena,Amount of last payment respondent and spouse/partner received,-9.0,Refused
1159804,NEXTSTEP,ns8_benefits,w8bena,Amount of last payment respondent and spouse/partner received,-8.0,Don't know
1159805,NEXTSTEP,ns8_benefits,w8bena,Amount of last payment respondent and spouse/partner received,-1.0,Not applicable
1159806,NEXTSTEP,ns8_benefits,w8benp2,Period covered by last payment respondent and spouse/partner received,-9.0,Refused
1159807,NEXTSTEP,ns8_benefits,w8benp2,Period covered by last payment respondent and spouse/partner received,-8.0,Don't know
1159808,NEXTSTEP,ns8_benefits,w8benp2,Period covered by last payment respondent and spouse/partner received,-1.0,Not applicable
1159809,NEXTSTEP,ns8_benefits,w8benp2,Period covered by last payment respondent and spouse/partner received,1.0,One week
1159810,NEXTSTEP,ns8_benefits,w8benp2,Period covered by last payment respondent and spouse/partner received,2.0,Calendar month
1159811,NEXTSTEP,ns8_benefits,w8benp2,Period covered by last payment respondent and spouse/partner received,3.0,One year
1159812,NEXTSTEP,ns8_benefits,w8benp2,Period covered by last payment respondent and spouse/partner received,4.0,Other period â€“ please specify
1159813,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,-9.0,Refused
1159814,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,-8.0,Don't know
1159815,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,-1.0,Not applicable
1159816,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,1.0,One week
1159817,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,2.0,Two weeks
1159818,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,3.0,Three weeks
1159819,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,4.0,Four weeks
1159820,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,5.0,Calendar month
1159821,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,6.0,Two calendar months
1159822,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,7.0,Eight times a year
1159823,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,8.0,Nine times a year
1159824,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,9.0,Ten times a year
1159825,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,10.0,Three months/13 weeks
1159826,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,11.0,Six months/26 weeks
1159827,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,12.0,One year/12 months/52 weeks
1159828,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,13.0,Less than one week
1159829,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,14.0,One off/lump sum
1159830,NEXTSTEP,ns8_benefits,w8bena3,Other period covered by last payment respondent and spouse/partner received,15.0,Other period
1159831,NEXTSTEP,ns8_benefits,w8benw,DV: Weekly benefit payments,-9.0,Refused
1159832,NEXTSTEP,ns8_benefits,w8benw,DV: Weekly benefit payments,-8.0,Insufficient information
1159833,NEXTSTEP,ns8_benefits,w8benw,DV: Weekly benefit payments,-1.0,Not applicable
1159834,NEXTSTEP,ns8_benefits,v3,None,,
1159835,NEXTSTEP,ns8_benefits,avail_from_dt,,,
