,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1162829,NEXTSTEP,ns8_children,study_id_e,,,
1162830,NEXTSTEP,ns8_children,w8chid,sortkey: child identifier,,
1162831,NEXTSTEP,ns8_children,w8nchsex,Childâ€™s sex,-9.0,Refused
1162832,NEXTSTEP,ns8_children,w8nchsex,Childâ€™s sex,-8.0,Don't know
1162833,NEXTSTEP,ns8_children,w8nchsex,Childâ€™s sex,-1.0,Not applicable
1162834,NEXTSTEP,ns8_children,w8nchsex,Childâ€™s sex,1.0,Male
1162835,NEXTSTEP,ns8_children,w8nchsex,Childâ€™s sex,2.0,Female
1162836,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,-9.0,Refused
1162837,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,-8.0,Don't know
1162838,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,-1.0,Not applicable
1162839,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,1.0,January
1162840,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,2.0,February
1162841,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,3.0,March
1162842,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,4.0,April
1162843,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,5.0,May
1162844,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,6.0,June
1162845,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,7.0,July
1162846,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,8.0,August
1162847,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,9.0,September
1162848,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,10.0,October
1162849,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,11.0,November
1162850,NEXTSTEP,ns8_children,w8nchdobm,Childâ€™s month of birth,12.0,December
1162851,NEXTSTEP,ns8_children,w8nchdoby,Childâ€™s year of birth,-9.0,Refused
1162852,NEXTSTEP,ns8_children,w8nchdoby,Childâ€™s year of birth,-8.0,Don't know
1162853,NEXTSTEP,ns8_children,w8nchdoby,Childâ€™s year of birth,-1.0,Not applicable
1162854,NEXTSTEP,ns8_children,w8nchrage,Child's age last birthday,-9.0,Refused
1162855,NEXTSTEP,ns8_children,w8nchrage,Child's age last birthday,-8.0,Don't know
1162856,NEXTSTEP,ns8_children,w8nchrage,Child's age last birthday,-1.0,Not applicable
1162857,NEXTSTEP,ns8_children,w8dnchrage,DV: Age of own children,-9.0,Refused
1162858,NEXTSTEP,ns8_children,w8dnchrage,DV: Age of own children,-8.0,Insufficient information
1162859,NEXTSTEP,ns8_children,w8dnchrage,DV: Age of own children,-1.0,Not applicable
1162860,NEXTSTEP,ns8_children,w8nchrel,Child's relationship to respondent,-9.0,Refused
1162861,NEXTSTEP,ns8_children,w8nchrel,Child's relationship to respondent,-8.0,Don't know
1162862,NEXTSTEP,ns8_children,w8nchrel,Child's relationship to respondent,-1.0,Not applicable
1162863,NEXTSTEP,ns8_children,w8nchrel,Child's relationship to respondent,1.0,My own (biological) child
1162864,NEXTSTEP,ns8_children,w8nchrel,Child's relationship to respondent,2.0,Adopted child
1162865,NEXTSTEP,ns8_children,w8nchrel,Child's relationship to respondent,3.0,Child of current/prev. spouse/partner
1162866,NEXTSTEP,ns8_children,w8nchrel,Child's relationship to respondent,4.0,Fostered child
1162867,NEXTSTEP,ns8_children,w8nchrel,Child's relationship to respondent,5.0,Other
1162868,NEXTSTEP,ns8_children,w8nchrelp,Whether cohabiting partnerâ€™s child,-9.0,Refused
1162869,NEXTSTEP,ns8_children,w8nchrelp,Whether cohabiting partnerâ€™s child,-8.0,Don't know
1162870,NEXTSTEP,ns8_children,w8nchrelp,Whether cohabiting partnerâ€™s child,-1.0,Not applicable
1162871,NEXTSTEP,ns8_children,w8nchrelp,Whether cohabiting partnerâ€™s child,1.0,Yes
1162872,NEXTSTEP,ns8_children,w8nchrelp,Whether cohabiting partnerâ€™s child,2.0,No
1162873,NEXTSTEP,ns8_children,w8parname,Whether previous partnerâ€™s child,-9.0,Refused
1162874,NEXTSTEP,ns8_children,w8parname,Whether previous partnerâ€™s child,-8.0,Don't know
1162875,NEXTSTEP,ns8_children,w8parname,Whether previous partnerâ€™s child,-1.0,Not applicable
1162876,NEXTSTEP,ns8_children,w8parname,Whether previous partnerâ€™s child,1.0,PrevRelNo 1
1162877,NEXTSTEP,ns8_children,w8parname,Whether previous partnerâ€™s child,2.0,PrevRelNo 2
1162878,NEXTSTEP,ns8_children,w8parname,Whether previous partnerâ€™s child,3.0,PrevRelNo 3
1162879,NEXTSTEP,ns8_children,w8parname,Whether previous partnerâ€™s child,11.0,None of these
1162880,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,-9.0,Refused
1162881,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,-8.0,Don't know
1162882,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,-1.0,Not applicable
1162883,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,1.0,January
1162884,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,2.0,February
1162885,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,3.0,March
1162886,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,4.0,April
1162887,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,5.0,May
1162888,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,6.0,June
1162889,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,7.0,July
1162890,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,8.0,August
1162891,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,9.0,September
1162892,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,10.0,October
1162893,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,11.0,November
1162894,NEXTSTEP,ns8_children,w8pardobm,Childâ€™s parentâ€™s month of birth,12.0,December
1162895,NEXTSTEP,ns8_children,w8pardoby,Childâ€™s parentâ€™s year of birth,-9.0,Refused
1162896,NEXTSTEP,ns8_children,w8pardoby,Childâ€™s parentâ€™s year of birth,-8.0,Don't know
1162897,NEXTSTEP,ns8_children,w8pardoby,Childâ€™s parentâ€™s year of birth,-1.0,Not applicable
1162898,NEXTSTEP,ns8_children,w8parage,Childâ€™s parentâ€™s age,-9.0,Refused
1162899,NEXTSTEP,ns8_children,w8parage,Childâ€™s parentâ€™s age,-8.0,Don't know
1162900,NEXTSTEP,ns8_children,w8parage,Childâ€™s parentâ€™s age,-1.0,Not applicable
1162901,NEXTSTEP,ns8_children,w8dparage,DV: Age of biological parent,-9.0,Refused
1162902,NEXTSTEP,ns8_children,w8dparage,DV: Age of biological parent,-8.0,Insufficient information
1162903,NEXTSTEP,ns8_children,w8dparage,DV: Age of biological parent,-1.0,Not applicable
1162904,NEXTSTEP,ns8_children,w8nchpres,Whether child lives with respondent,-9.0,Refused
1162905,NEXTSTEP,ns8_children,w8nchpres,Whether child lives with respondent,-8.0,Don't know
1162906,NEXTSTEP,ns8_children,w8nchpres,Whether child lives with respondent,-1.0,Not applicable
1162907,NEXTSTEP,ns8_children,w8nchpres,Whether child lives with respondent,1.0,Yes â€“ all of the time
1162908,NEXTSTEP,ns8_children,w8nchpres,Whether child lives with respondent,2.0,Yes â€“ some of the time (shared custody)
1162909,NEXTSTEP,ns8_children,w8nchpres,Whether child lives with respondent,3.0,No
1162910,NEXTSTEP,ns8_children,w8nchevlv,Whether child has ever lived with respondent,-9.0,Refused
1162911,NEXTSTEP,ns8_children,w8nchevlv,Whether child has ever lived with respondent,-8.0,Don't know
1162912,NEXTSTEP,ns8_children,w8nchevlv,Whether child has ever lived with respondent,-1.0,Not applicable
1162913,NEXTSTEP,ns8_children,w8nchevlv,Whether child has ever lived with respondent,1.0,Yes
1162914,NEXTSTEP,ns8_children,w8nchevlv,Whether child has ever lived with respondent,2.0,No
1162915,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,-9.0,Refused
1162916,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,-8.0,Don't know
1162917,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,-1.0,Not applicable
1162918,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,1.0,With biological mother/father
1162919,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,2.0,With step mother/father
1162920,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,3.0,With adoptive parents
1162921,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,4.0,With other relatives
1162922,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,5.0,In local authority care
1162923,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,6.0,In foster care
1162924,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,7.0,In a hostel
1162925,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,8.0,Other
1162926,NEXTSTEP,ns8_children,w8chdlive,Who child lives with,9.0,Child has died
1162927,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,-9.0,Refused
1162928,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,-8.0,Don't know
1162929,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,-1.0,Not applicable
1162930,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,1.0,Three or more times a week
1162931,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,2.0,Once or twice a week
1162932,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,3.0,Once or twice a month
1162933,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,4.0,Every few months
1162934,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,5.0,Once or twice a year
1162935,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,6.0,Less than once a year
1162936,NEXTSTEP,ns8_children,w8abchg91,Frequency of contact with child,7.0,Never
1162937,NEXTSTEP,ns8_children,w8copa,Whether child has contact with absent parent,-9.0,Refused
1162938,NEXTSTEP,ns8_children,w8copa,Whether child has contact with absent parent,-8.0,Don't know
1162939,NEXTSTEP,ns8_children,w8copa,Whether child has contact with absent parent,-1.0,Not applicable
1162940,NEXTSTEP,ns8_children,w8copa,Whether child has contact with absent parent,1.0,Yes
1162941,NEXTSTEP,ns8_children,w8copa,Whether child has contact with absent parent,2.0,No
1162942,NEXTSTEP,ns8_children,w8copa,Whether child has contact with absent parent,3.0,Parent has died
1162943,NEXTSTEP,ns8_children,w8copa,Whether child has contact with absent parent,4.0,Parent lives in household
1162944,NEXTSTEP,ns8_children,w8seof,Frequency of contact of child with absent parent,-9.0,Refused
1162945,NEXTSTEP,ns8_children,w8seof,Frequency of contact of child with absent parent,-8.0,Don't know
1162946,NEXTSTEP,ns8_children,w8seof,Frequency of contact of child with absent parent,-1.0,Not applicable
1162947,NEXTSTEP,ns8_children,w8seof,Frequency of contact of child with absent parent,1.0,Three or more times a week
1162948,NEXTSTEP,ns8_children,w8seof,Frequency of contact of child with absent parent,2.0,Once or twice a week
1162949,NEXTSTEP,ns8_children,w8seof,Frequency of contact of child with absent parent,3.0,Once or twice a month
1162950,NEXTSTEP,ns8_children,w8seof,Frequency of contact of child with absent parent,4.0,Every few months
1162951,NEXTSTEP,ns8_children,w8seof,Frequency of contact of child with absent parent,5.0,Once or twice a year
1162952,NEXTSTEP,ns8_children,w8seof,Frequency of contact of child with absent parent,6.0,Less than once a year
