variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8CHID,sortkey: child identifier,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8NCHSEX,Childâ€™s sex,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8NCHDOBM,Childâ€™s month of birth,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8NCHDOBY,Childâ€™s year of birth,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8NCHRAGE,Child's age last birthday,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8DNCHRAGE,DV: Age of own children,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8NCHREL,Child's relationship to respondent,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8NCHRELP,Whether cohabiting partnerâ€™s child,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8PARNAME,Whether previous partnerâ€™s child,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8PARDOBM,Childâ€™s parentâ€™s month of birth,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8PARDOBY,Childâ€™s parentâ€™s year of birth,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8PARAGE,Childâ€™s parentâ€™s age,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8DPARAGE,DV: Age of biological parent,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8NCHPRES,Whether child lives with respondent,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8NCHEVLV,Whether child has ever lived with respondent,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8CHDLIVE,Who child lives with,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8ABCHG91,Frequency of contact with child,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8COPA,Whether child has contact with absent parent,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
W8SEOF,Frequency of contact of child with absent parent,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
V3,None,2022-01-10 06:49:20.233,ns8_children_v0001_20211101
