,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1159963,NEXTSTEP,ns8_derived,study_id_e,,,
1159964,NEXTSTEP,ns8_derived,w8dctry,DV: Country at interview,-9.0,Refused
1159965,NEXTSTEP,ns8_derived,w8dctry,DV: Country at interview,-8.0,Insufficient information
1159966,NEXTSTEP,ns8_derived,w8dctry,DV: Country at interview,-1.0,Not applicable
1159967,NEXTSTEP,ns8_derived,w8dctry,DV: Country at interview,0.0,Outside Great Britain
1159968,NEXTSTEP,ns8_derived,w8dctry,DV: Country at interview,1.0,England
1159969,NEXTSTEP,ns8_derived,w8dctry,DV: Country at interview,2.0,Wales
1159970,NEXTSTEP,ns8_derived,w8dctry,DV: Country at interview,3.0,Scotland
1159971,NEXTSTEP,ns8_derived,w8dctry,DV: Country at interview,4.0,Northern Ireland
1159972,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,-9.0,Refused
1159973,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,-8.0,Insufficient information
1159974,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,-1.0,Not applicable
1159975,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,1.0,North East
1159976,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,2.0,North West
1159977,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,3.0,Yorkshire and the Humber
1159978,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,4.0,East Midlands
1159979,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,5.0,West Midlands
1159980,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,6.0,East of England
1159981,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,7.0,London
1159982,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,8.0,South East
1159983,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,9.0,South West
1159984,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,10.0,Wales
1159985,NEXTSTEP,ns8_derived,w8dgor,DV: Interview Government Office Region,11.0,Scotland
