variable_name,variable_label,avail_from_dt,table_name
W8EVERPREVEMP,DV: Ever been employed before current activity,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8EVERPREVEMP2,DV: Ever been employed before current activity,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8LASTEMPACT,DV: Last employment activity,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8LASTEMPMTH,DV: Last employment start month,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8LASTEMPYEAR,DV: Last employment start year,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8DFFACTIVITY,DV: FF activity - waves 4 to 7,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8UNEMPYP,Reason for end of previous economic activity,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8JTITLEP0A,First job after leaving full time education: Current job is first job,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8JTITLEP0B,First job after leaving full time education: No job since leaving,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8JTITLEP0C,First job after leaving full time education: Have not left full-time education,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8JTITLEP0D,First job after leaving full time education: Don't know,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8JTITLEP0E,First job after leaving full time education: Refused,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8JDOPSOCCODE,Main activities in first job (SOC code),2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0A,How found out about current/last job: Job Centre,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0B,How found out about current/last job: University or college,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0C,How found out about current/last job: Media,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0D,How found out about current/last job: Employerâ€™s website,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0E,How found out about current/last job: Recruitment agency or website,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0F,How found out about current/last job: Personal contacts,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0G,How found out about current/last job: Professional networking,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0H,How found out about current/last job: Speculative applications,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0I,How found out about current/last job: Already worked there,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8ADVICE0J,How found out about current/last job: Other,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8QUALHELP,Whether needed highest qualification to get current job,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8PARTDO,Partner's main activity,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8PARTDOF,Flag: Whether spouse main activity back-coded to non 'other' value,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8PARTWK,Whether partner working full-time or part-time,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8PARTSTUDY,Whether partner studying full-time or part-time,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8SICKHRSB,Whether partner temporarily sick/disabled or long-term sick/disabled,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8PAYS,Whether payslip consulted when answering question,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8GROA,Main job pay (gross),2022-01-10 08:13:19.840,ns8_v0001_20211101
W8GROP2,Gross pay period,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8GROP3,Gross pay period - Other,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8GROW,DV: Gross pay per week,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8GROP4,Period over which would be able to tell main jobâ€™s gross pay,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8GROP5,Period over which would be able to tell about gross pay from main job - Other,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8NETA,Last take-home pay (net),2022-01-10 08:13:19.840,ns8_v0001_20211101
W8NETP2,Last take-home pay period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8NETP3,Last take-home pay other period covered - Other,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8NETW,DV: Weekly take home pay,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8NEGRCK,Check gross pay against net pay,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8NEGRCKF,Flag: Whether script error at question NEGRCK (Variable: W8NEGRCK),2022-01-10 08:13:19.840,ns8_v0001_20211101
W8NETP4,Take-home pay period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8NETP5,Take-home pay other period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8PUSL,Whether this is usual take-home pay,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8USLA,Usual take-home pay,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8USLP2,Usual take-home pay period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8USLP3,Usual take-home pay other period covered - Other,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8USLW,DV: Usual weekly take-home pay,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8USLP4,Usual take-home pay period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8USLP5,Usual take-home pay other period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8SEPA,Self-employed take home income of the last 12 months,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8SJUA,Take-home income second job,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8SJUP2,Usual take-home pay period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8SJUP3,Usual take-home pay other period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8SJUP4,Take home income second job usual period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8SJUP5,Take home income second job usual period covered - Other,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8OCIN,Other income from paid work,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8HOWK,Hours worked last calendar month in regular jobs,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8EASE,Take-home pay from other work last calendar month,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8PUSA,Partnerâ€™s usual monthly take-home pay after tax & any other deductions,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8PUSP2,Partnerâ€™s usual take-home pay period covered,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8PUSP3,Partnerâ€™s usual take-home pay period covered - Other,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8UNCR,Whether CM or partner currently receive Universal Credit,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8UCCO0A,Universal Credit payment: Income based Job seekers allowance,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8UCCO0B,Universal Credit payment: Income-related Employment and Support Allowance,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8UCCO0C,Universal Credit payment: Income Support,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8UCCO0D,Universal Credit payment: Working Tax Credit,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8UCCO0E,Universal Credit payment: Child Tax Credit,2022-01-10 08:13:19.840,ns8_v0001_20211101
W8UCCO0F,Universal Credit payment: Housing Benefit,2022-01-10 08:13:19.840,ns8_v0001_20211101
