,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1160489,NEXTSTEP,ns8_partnerships,study_id_e,,,
1160490,NEXTSTEP,ns8_partnerships,w8relid,sortkey: previous partner identifier,,
1160491,NEXTSTEP,ns8_partnerships,w8relpast,Whether lived with anyone else as a couple for one month or more,-9.0,Refused
1160492,NEXTSTEP,ns8_partnerships,w8relpast,Whether lived with anyone else as a couple for one month or more,-8.0,Don't know
1160493,NEXTSTEP,ns8_partnerships,w8relpast,Whether lived with anyone else as a couple for one month or more,-1.0,Not applicable
1160494,NEXTSTEP,ns8_partnerships,w8relpast,Whether lived with anyone else as a couple for one month or more,1.0,Yes
1160495,NEXTSTEP,ns8_partnerships,w8relpast,Whether lived with anyone else as a couple for one month or more,2.0,No
1160496,NEXTSTEP,ns8_partnerships,w8multepis,Previous live in partner same person or different,-9.0,Refused
1160497,NEXTSTEP,ns8_partnerships,w8multepis,Previous live in partner same person or different,-8.0,Don't know
1160498,NEXTSTEP,ns8_partnerships,w8multepis,Previous live in partner same person or different,-1.0,Not applicable
1160499,NEXTSTEP,ns8_partnerships,w8multepis,Previous live in partner same person or different,1.0,Same person
1160500,NEXTSTEP,ns8_partnerships,w8multepis,Previous live in partner same person or different,2.0,Someone different
1160501,NEXTSTEP,ns8_partnerships,w8opsex,Previous partnerâ€™s sex,-9.0,Refused
1160502,NEXTSTEP,ns8_partnerships,w8opsex,Previous partnerâ€™s sex,-8.0,Don't know
1160503,NEXTSTEP,ns8_partnerships,w8opsex,Previous partnerâ€™s sex,-1.0,Not applicable
1160504,NEXTSTEP,ns8_partnerships,w8opsex,Previous partnerâ€™s sex,1.0,Male
1160505,NEXTSTEP,ns8_partnerships,w8opsex,Previous partnerâ€™s sex,2.0,Female
1160506,NEXTSTEP,ns8_partnerships,w8opdobm,Previous partnerâ€™s month of birth,-9.0,Refused
1160507,NEXTSTEP,ns8_partnerships,w8opdobm,Previous partnerâ€™s month of birth,-8.0,Don't know
1160508,NEXTSTEP,ns8_partnerships,w8opdobm,Previous partnerâ€™s month of birth,-1.0,Not applicable
1160509,NEXTSTEP,ns8_partnerships,w8opdobm,Previous partnerâ€™s month of birth,1.0,January
1160510,NEXTSTEP,ns8_partnerships,w8opdobm,Previous partnerâ€™s month of birth,2.0,February
1160511,NEXTSTEP,ns8_partnerships,w8opdobm,Previous partnerâ€™s month of birth,3.0,March
1160512,NEXTSTEP,ns8_partnerships,w8opdobm,Previous partnerâ€™s month of birth,4.0,April
