variable_name,variable_label,avail_from_dt,table_name
LLC_ID,None,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8RELID,sortkey: previous partner identifier,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8RELPAST,Whether lived with anyone else as a couple for one month or more,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8MULTEPIS,Previous live in partner same person or different,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPSEX,Previous partnerâ€™s sex,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPDOBM,Previous partnerâ€™s month of birth,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPDOBY,Previous partnerâ€™s year of birth,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPAGE,Previous partnerâ€™s age last birthday,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPMS,Relationship status with previous partner,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8CRHOWEND,Reason for end of living together,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8CRDIVOR,Whether got divorced/ended CP,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPLIVEBM,Month started living together with previous partner,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPLIVEBY,Year started living together with previous partner,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPLIVEEM,Month stopped living with previous partner / partner died,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPLIVEEY,Year stopped living with previous partner / partner died,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPWHENMAM,Month married/civil partnership with previous partner,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8OPWHENMAY,Year married/civil partnership with previous partner,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8CRDIVWHM,Month divorced/ended civil partnership with previous partner,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
W8CRDIVWHY,Year divorced/ended civil partnership with previous partner,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
V3,None,2022-01-10 07:34:33.150,ns8_partnerships_v0001_20211101
