variable_name,value_value,value_label,avail_from_dt,table_name
W8RELPAST,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8RELPAST,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8RELPAST,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8RELPAST,1,Yes,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8RELPAST,2,No,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8MULTEPIS,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8MULTEPIS,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8MULTEPIS,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8MULTEPIS,1,Same person,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8MULTEPIS,2,Someone different,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPSEX,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPSEX,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPSEX,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPSEX,1,Male,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPSEX,2,Female,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,1,January,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,2,February,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,3,March,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,4,April,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,5,May,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,6,June,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,7,July,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,8,August,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,9,September,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,10,October,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,11,November,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBM,12,December,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBY,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBY,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPDOBY,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPAGE,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPAGE,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPAGE,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPMS,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPMS,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPMS,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPMS,1,Yes got married,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPMS,2,Yes got married (same sex),2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPMS,3,Formed legally recognised CP,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPMS,4,Did not get married,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRHOWEND,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRHOWEND,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRHOWEND,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRHOWEND,1,Your relationship ended/you separated,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRHOWEND,2,Living together not suitable; rel contd,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRHOWEND,3,Your partner died,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVOR,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVOR,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVOR,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVOR,1,Yes,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVOR,2,No,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,1,January,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,2,February,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,3,March,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,4,April,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,5,May,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,6,June,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,7,July,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,8,August,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,9,September,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,10,October,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,11,November,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBM,12,December,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBY,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBY,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEBY,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,1,January,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,2,February,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,3,March,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,4,April,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,5,May,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,6,June,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,7,July,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,8,August,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,9,September,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,10,October,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,11,November,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEM,12,December,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEY,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEY,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPLIVEEY,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,1,January,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,2,February,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,3,March,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,4,April,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,5,May,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,6,June,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,7,July,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,8,August,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,9,September,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,10,October,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,11,November,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAM,12,December,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAY,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAY,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8OPWHENMAY,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,-9,Refused,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,-8,Don't know,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,-1,Not applicable,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,1,January,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,2,February,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,3,March,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,4,April,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,5,May,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,6,June,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,7,July,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,8,August,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,9,September,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
W8CRDIVWHM,10,October,2022-01-10 07:41:01.813,ns8_partnerships_v0001_20211101
