,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1163612,NEXTSTEP,ns8_self_completion,study_id_e,,,
1163613,NEXTSTEP,ns8_self_completion,w8casistart,Accepted Self-completion,-9.0,Refused
1163614,NEXTSTEP,ns8_self_completion,w8casistart,Accepted Self-completion,-8.0,Don't know
1163615,NEXTSTEP,ns8_self_completion,w8casistart,Accepted Self-completion,-1.0,Not applicable
1163616,NEXTSTEP,ns8_self_completion,w8casistart,Accepted Self-completion,1.0,Accepted as self-completion
1163617,NEXTSTEP,ns8_self_completion,w8casistart,Accepted Self-completion,2.0,Accepted SC: By Intwr. as sight probs
1163618,NEXTSTEP,ns8_self_completion,w8casistart,Accepted Self-completion,3.0,Refused self-completion
1163619,NEXTSTEP,ns8_self_completion,w8casistart,Accepted Self-completion,4.0,Not able to do self-completion
1163620,NEXTSTEP,ns8_self_completion,w8scrf0a,Reasons refused self-completion: Didn't like computer,-9.0,Refused
1163621,NEXTSTEP,ns8_self_completion,w8scrf0a,Reasons refused self-completion: Didn't like computer,-8.0,Don't know
1163622,NEXTSTEP,ns8_self_completion,w8scrf0a,Reasons refused self-completion: Didn't like computer,-1.0,Not applicable
1163623,NEXTSTEP,ns8_self_completion,w8scrf0a,Reasons refused self-completion: Didn't like computer,0.0,No
1163624,NEXTSTEP,ns8_self_completion,w8scrf0a,Reasons refused self-completion: Didn't like computer,1.0,Yes
1163625,NEXTSTEP,ns8_self_completion,w8scrf0b,Reasons refused self-completion: Child crying/needed attention etc.,-9.0,Refused
1163626,NEXTSTEP,ns8_self_completion,w8scrf0b,Reasons refused self-completion: Child crying/needed attention etc.,-8.0,Don't know
1163627,NEXTSTEP,ns8_self_completion,w8scrf0b,Reasons refused self-completion: Child crying/needed attention etc.,-1.0,Not applicable
1163628,NEXTSTEP,ns8_self_completion,w8scrf0b,Reasons refused self-completion: Child crying/needed attention etc.,0.0,No
1163629,NEXTSTEP,ns8_self_completion,w8scrf0b,Reasons refused self-completion: Child crying/needed attention etc.,1.0,Yes
1163630,NEXTSTEP,ns8_self_completion,w8scrf0c,Reasons refused self-completion: Worried about confidentiality,-9.0,Refused
1163631,NEXTSTEP,ns8_self_completion,w8scrf0c,Reasons refused self-completion: Worried about confidentiality,-8.0,Don't know
1163632,NEXTSTEP,ns8_self_completion,w8scrf0c,Reasons refused self-completion: Worried about confidentiality,-1.0,Not applicable
1163633,NEXTSTEP,ns8_self_completion,w8scrf0c,Reasons refused self-completion: Worried about confidentiality,0.0,No
1163634,NEXTSTEP,ns8_self_completion,w8scrf0c,Reasons refused self-completion: Worried about confidentiality,1.0,Yes
1163635,NEXTSTEP,ns8_self_completion,w8scrf0d,Reasons refused self-completion: Concerned because someone else was present,-9.0,Refused
1163636,NEXTSTEP,ns8_self_completion,w8scrf0d,Reasons refused self-completion: Concerned because someone else was present,-8.0,Don't know
