variable_name,value_value,value_label,avail_from_dt,table_name
W8SCUN0E,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SCUN0E,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SCUN0E,0,No,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SCUN0E,1,Yes,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SCUN0F,-9,Refused,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SCUN0F,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SCUN0F,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SCUN0F,0,No,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SCUN0F,1,Yes,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SEXUALITY,-9,Refused,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SEXUALITY,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SEXUALITY,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SEXUALITY,1,Heterosexual / Straight,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SEXUALITY,2,Gay / Lesbian,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SEXUALITY,3,Bisexual,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8SEXUALITY,4,Other,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0A,-9,Refused,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0A,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0A,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0A,1,Strongly agree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0A,2,Agree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0A,3,Disagree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0A,4,Strongly disagree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0B,-9,Refused,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0B,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0B,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0B,1,Strongly agree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0B,2,Agree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0B,3,Disagree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0B,4,Strongly disagree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0C,-9,Refused,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0C,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0C,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0C,1,Strongly agree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0C,2,Agree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0C,3,Disagree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0C,4,Strongly disagree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0D,-9,Refused,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0D,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0D,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0D,1,Strongly agree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0D,2,Agree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0D,3,Disagree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8LOCUS0D,4,Strongly disagree,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8OSATIS,-9,Refused,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8OSATIS,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8OSATIS,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8OSATIS,1,Very satisfied,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8OSATIS,2,Fairly satisfied,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8OSATIS,3,Neither satisfied nor dissatisfied,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8OSATIS,4,Fairly dissatisfied,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8OSATIS,5,Very dissatisfied,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_1,-9,Refused,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_1,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_1,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_1,1,Better than usual,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_1,2,Same as usual,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_1,3,Less than usual,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_1,4,Much less than usual,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_2,-9,Refused,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_2,-8,Don't know,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_2,-1,Not applicable,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_2,1,Not at all,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
W8GHQ12_2,2,No more than usual,2022-01-10 07:56:50.917,ns8_self_completion_v0001_20211101
