,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1168377,nhsd,CANCER,nic_number,,,
1168378,nhsd,CANCER,cohortkey_e,,,
1168379,nhsd,CANCER,cancer_record_type,,,
1168380,nhsd,CANCER,cancer_sex,,,
1168381,nhsd,CANCER,derived_can_dobym,,,
1168382,nhsd,CANCER,llc_e_cancer_reg_no_e,,,
1168383,nhsd,CANCER,cancer_serial_no,,,
1168384,nhsd,CANCER,cancer_registry_code,,,
1168385,nhsd,CANCER,cancer_centre,,,
1168386,nhsd,CANCER,cancer_registration_year,,,
1168387,nhsd,CANCER,cancer_site,,,
1168388,nhsd,CANCER,cancer_type,,,
1168389,nhsd,CANCER,cancer_behaviour,,,
1168390,nhsd,CANCER,cancer_anniversary_year,,,
1168391,nhsd,CANCER,cancer_anniversary_month,,,
1168392,nhsd,CANCER,cancer_anniversary_day,,,
1168393,nhsd,CANCER,cancer_date_of_death,,,
1168394,nhsd,CANCER,cancer_multiple_cancer_indicator,,,
1168395,nhsd,CANCER,cancer_century_indicator,,,
1168396,nhsd,CANCER,avail_from_dt,,,
1168397,nhsd,CANCER,row_version,,,
1168398,nhsd,CANCER,nic_number,,,
1168399,nhsd,CANCER,cohortkey_e,,,
1168400,nhsd,CANCER,cancer_record_type,,,
1168401,nhsd,CANCER,cancer_sex,,,
1168402,nhsd,CANCER,derived_can_dobym,,,
1168403,nhsd,CANCER,llc_e_cancer_reg_no_e,,,
1168404,nhsd,CANCER,cancer_serial_no,,,
1168405,nhsd,CANCER,cancer_registry_code,,,
1168406,nhsd,CANCER,cancer_centre,,,
1168407,nhsd,CANCER,cancer_registration_year,,,
1168408,nhsd,CANCER,cancer_site,,,
1168409,nhsd,CANCER,cancer_type,,,
1168410,nhsd,CANCER,cancer_behaviour,,,
1168411,nhsd,CANCER,cancer_anniversary_year,,,
1168412,nhsd,CANCER,cancer_anniversary_month,,,
1168413,nhsd,CANCER,cancer_anniversary_day,,,
1168414,nhsd,CANCER,cancer_date_of_death,,,
1168415,nhsd,CANCER,cancer_multiple_cancer_indicator,,,
1168416,nhsd,CANCER,cancer_century_indicator,,,
1168417,nhsd,CANCER,avail_from_dt,,,
1168418,nhsd,CANCER,row_version,,,
1168419,nhsd,CANCER,nic_number,,,
1168420,nhsd,CANCER,cohortkey_e,,,
1168421,nhsd,CANCER,cancer_record_type,,,
1168422,nhsd,CANCER,cancer_sex,,,
1168423,nhsd,CANCER,derived_can_dobym,,,
1168424,nhsd,CANCER,llc_e_cancer_reg_no_e,,,
1168425,nhsd,CANCER,cancer_serial_no,,,
1168426,nhsd,CANCER,cancer_registry_code,,,
1168427,nhsd,CANCER,cancer_centre,,,
1168428,nhsd,CANCER,cancer_registration_year,,,
1168429,nhsd,CANCER,cancer_site,,,
1168430,nhsd,CANCER,cancer_type,,,
1168431,nhsd,CANCER,cancer_behaviour,,,
1168432,nhsd,CANCER,cancer_anniversary_year,,,
1168433,nhsd,CANCER,cancer_anniversary_month,,,
1168434,nhsd,CANCER,cancer_anniversary_day,,,
1168435,nhsd,CANCER,cancer_date_of_death,,,
1168436,nhsd,CANCER,cancer_multiple_cancer_indicator,,,
1168437,nhsd,CANCER,cancer_century_indicator,,,
1168438,nhsd,CANCER,avail_from_dt,,,
1168439,nhsd,CANCER,row_version,,,
1168440,nhsd,CANCER,nic_number,,,
1168441,nhsd,CANCER,cohortkey_e,,,
1168442,nhsd,CANCER,cancer_record_type,,,
1168443,nhsd,CANCER,cancer_sex,,,
1168444,nhsd,CANCER,derived_can_dobym,,,
1168445,nhsd,CANCER,llc_e_cancer_reg_no_e,,,
1168446,nhsd,CANCER,cancer_serial_no,,,
1168447,nhsd,CANCER,cancer_registry_code,,,
1168448,nhsd,CANCER,cancer_centre,,,
1168449,nhsd,CANCER,cancer_registration_year,,,
1168450,nhsd,CANCER,cancer_site,,,
1168451,nhsd,CANCER,cancer_type,,,
1168452,nhsd,CANCER,cancer_behaviour,,,
1168453,nhsd,CANCER,cancer_anniversary_year,,,
1168454,nhsd,CANCER,cancer_anniversary_month,,,
1168455,nhsd,CANCER,cancer_anniversary_day,,,
1168456,nhsd,CANCER,cancer_date_of_death,,,
1168457,nhsd,CANCER,cancer_multiple_cancer_indicator,,,
1168458,nhsd,CANCER,cancer_century_indicator,,,
1168459,nhsd,CANCER,avail_from_dt,,,
1168460,nhsd,CANCER,row_version,,,
1168461,nhsd,CANCER,nic_number,,,
1168462,nhsd,CANCER,cohortkey_e,,,
1168463,nhsd,CANCER,cancer_record_type,,,
1168464,nhsd,CANCER,cancer_sex,,,
1168465,nhsd,CANCER,derived_can_dobym,,,
1168466,nhsd,CANCER,llc_e_cancer_reg_no_e,,,
1168467,nhsd,CANCER,cancer_serial_no,,,
1168468,nhsd,CANCER,cancer_registry_code,,,
1168469,nhsd,CANCER,cancer_centre,,,
1168470,nhsd,CANCER,cancer_registration_year,,,
1168471,nhsd,CANCER,cancer_site,,,
1168472,nhsd,CANCER,cancer_type,,,
1168473,nhsd,CANCER,cancer_behaviour,,,
1168474,nhsd,CANCER,cancer_anniversary_year,,,
1168475,nhsd,CANCER,cancer_anniversary_month,,,
1168476,nhsd,CANCER,cancer_anniversary_day,,,
1168477,nhsd,CANCER,cancer_date_of_death,,,
1168478,nhsd,CANCER,cancer_multiple_cancer_indicator,,,
1168479,nhsd,CANCER,cancer_century_indicator,,,
1168480,nhsd,CANCER,avail_from_dt,,,
1168481,nhsd,CANCER,row_version,,,
1168482,nhsd,CANCER,nic_number,,,
1168483,nhsd,CANCER,cohortkey_e,,,
1168484,nhsd,CANCER,cancer_record_type,,,
1168485,nhsd,CANCER,cancer_sex,,,
1168486,nhsd,CANCER,derived_can_dobym,,,
1168487,nhsd,CANCER,llc_e_cancer_reg_no_e,,,
1168488,nhsd,CANCER,cancer_serial_no,,,
1168489,nhsd,CANCER,cancer_registry_code,,,
1168490,nhsd,CANCER,cancer_centre,,,
1168491,nhsd,CANCER,cancer_registration_year,,,
1168492,nhsd,CANCER,cancer_site,,,
1168493,nhsd,CANCER,cancer_type,,,
1168494,nhsd,CANCER,cancer_behaviour,,,
1168495,nhsd,CANCER,cancer_anniversary_year,,,
1168496,nhsd,CANCER,cancer_anniversary_month,,,
1168497,nhsd,CANCER,cancer_anniversary_day,,,
1168498,nhsd,CANCER,cancer_date_of_death,,,
1168499,nhsd,CANCER,cancer_multiple_cancer_indicator,,,
1168500,nhsd,CANCER,cancer_century_indicator,,,
1168501,nhsd,CANCER,avail_from_dt,,,
1168502,nhsd,CANCER,row_version,,,
