,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1168503,nhsd,CHESS,ethnicity,,,
1168504,nhsd,CHESS,admissioncovid19,,,
1168505,nhsd,CHESS,admissionflu,,,
1168506,nhsd,CHESS,admissionrsv,,,
1168507,nhsd,CHESS,admittedfrom,,,
1168508,nhsd,CHESS,asthmarequiring,,,
1168509,nhsd,CHESS,asymptomatictesting,,,
1168510,nhsd,CHESS,chronicheart,,,
1168511,nhsd,CHESS,chronicliver,,,
1168512,nhsd,CHESS,chronicneurological,,,
1168513,nhsd,CHESS,chronicrenal,,,
1168514,nhsd,CHESS,chronicrespiratory,,,
1168515,nhsd,CHESS,contactwithconfirmedcovid19case,,,
1168516,nhsd,CHESS,covid19,,,
1168517,nhsd,CHESS,dateadmittedicu,,,
1168518,nhsd,CHESS,dateleavingicu,,,
1168519,nhsd,CHESS,dateupdated,,,
1168520,nhsd,CHESS,diabetestype,,,
1168521,nhsd,CHESS,estimateddateonset,,,
1168522,nhsd,CHESS,finaloutcome,,,
1168523,nhsd,CHESS,finaloutcomedate,,,
1168524,nhsd,CHESS,gestationweek,,,
1168525,nhsd,CHESS,highflownasaloxygen,,,
1168526,nhsd,CHESS,hospitaladmissionadmittedfrom,,,
1168527,nhsd,CHESS,hospitaladmissiondate,,,
1168528,nhsd,CHESS,hypertension,,,
1168529,nhsd,CHESS,immunosuppressiondisease,,,
1168530,nhsd,CHESS,immunosuppressiontreatment,,,
1168531,nhsd,CHESS,infectionswabdate,,,
1168532,nhsd,CHESS,influenzaah1n1pdm2009,,,
1168533,nhsd,CHESS,influenzaah3n2,,,
1168534,nhsd,CHESS,influenzaanonsubtyped,,,
1168535,nhsd,CHESS,influenzaaunsubtypable,,,
1168536,nhsd,CHESS,influenzab,,,
1168537,nhsd,CHESS,invasivemechanicalventilation,,,
1168538,nhsd,CHESS,isardscomplication,,,
1168539,nhsd,CHESS,isdiabetes,,,
1168540,nhsd,CHESS,isothercoinfectionscomplication,,,
1168541,nhsd,CHESS,isothercomplication,,,
1168542,nhsd,CHESS,issecondarybacterialpneumoniacomplication,,,
1168543,nhsd,CHESS,isunknowncomplication,,,
1168544,nhsd,CHESS,isviralpneumoniacomplication,,,
1168545,nhsd,CHESS,labtestdate,,,
1168546,nhsd,CHESS,mechanicalinvasiveventilationduration,,,
1168547,nhsd,CHESS,noninvasivemechanicalventilation,,,
1168548,nhsd,CHESS,obesitybmi,,,
1168549,nhsd,CHESS,obesityclinical,,,
1168550,nhsd,CHESS,sbporganismname,,,
1168551,nhsd,CHESS,other,,,
1168552,nhsd,CHESS,otherresult,,,
1168553,nhsd,CHESS,oxygenviacannulaeormask,,,
1168554,nhsd,CHESS,patientstillonicu,,,
1168555,nhsd,CHESS,pregnancy,,,
1168556,nhsd,CHESS,prematurity,,,
1168557,nhsd,CHESS,rsv,,,
1168558,nhsd,CHESS,respiratorysupportecmo,,,
1168559,nhsd,CHESS,respiratorysupportnone,,,
1168560,nhsd,CHESS,respiratorysupportunknown,,,
1168561,nhsd,CHESS,sbpdate,,,
1168562,nhsd,CHESS,seriousmentalillness,,,
1168563,nhsd,CHESS,transferdestination,,,
1168564,nhsd,CHESS,travelin14days,,,
1168565,nhsd,CHESS,typeofspecimen,,,
1168566,nhsd,CHESS,admittedtoicu,,,
1168567,nhsd,CHESS,weekno,,,
1168568,nhsd,CHESS,weekofadmission,,,
1168569,nhsd,CHESS,worksashealthcareworker,,,
1168570,nhsd,CHESS,yearofadmission,,,
1168571,nhsd,CHESS,cohortkey_e,,,
1168572,nhsd,CHESS,nic_number,,,
1168573,nhsd,CHESS,avail_from_dt,,,
1168574,nhsd,CHESS,row_version,,,
