,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1168859,nhsd,CSDS_diagnoses,orgid_provider,,,
1168860,nhsd,CSDS_diagnoses,extractperiod_startdate,,,
1168861,nhsd,CSDS_diagnoses,extractperiod_enddate,,,
1168862,nhsd,CSDS_diagnoses,diagnosis_scheme,,,
1168863,nhsd,CSDS_diagnoses,diagnosis,,,
1168864,nhsd,CSDS_diagnoses,diagnosis_type,,,
1168865,nhsd,CSDS_diagnoses,diagnosis_date,,,
1168866,nhsd,CSDS_diagnoses,pseudo_unique_servicerequestid,,,
1168867,nhsd,CSDS_diagnoses,mastersnomedctdiagnosiscode,,,
1168868,nhsd,CSDS_diagnoses,mastersnomedctdiagnosisterm,,,
1168869,nhsd,CSDS_diagnoses,mastericd10diagnosiscode,,,
1168870,nhsd,CSDS_diagnoses,mastericd10diagnosisdesc,,,
1168871,nhsd,CSDS_diagnoses,cohortkey_e,,,
1168872,nhsd,CSDS_diagnoses,nic_number,,,
1168873,nhsd,CSDS_diagnoses,avail_from_dt,,,
1168874,nhsd,CSDS_diagnoses,row_version,,,
