,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1168875,nhsd,CSDS_group_sessions,orgid_provider,,,
1168876,nhsd,CSDS_group_sessions,extractperiod_startdate,,,
1168877,nhsd,CSDS_group_sessions,extractperiod_enddate,,,
1168878,nhsd,CSDS_group_sessions,pseudogroupsessionid,,,
1168879,nhsd,CSDS_group_sessions,groupsession_date,,,
1168880,nhsd,CSDS_group_sessions,orgid_commissioner,,,
1168881,nhsd,CSDS_group_sessions,groupsession_duration,,,
1168882,nhsd,CSDS_group_sessions,groupsession_type,,,
1168883,nhsd,CSDS_group_sessions,numberofparticipants,,,
1168884,nhsd,CSDS_group_sessions,activity_locationtype,,,
1168885,nhsd,CSDS_group_sessions,treatment_orgsiteid,,,
1168886,nhsd,CSDS_group_sessions,pseudo_uniquecareprofessionalid_local,,,
1168887,nhsd,CSDS_group_sessions,pseudoservicelineagreement,,,
1168888,nhsd,CSDS_group_sessions,registrationbody,,,
1168889,nhsd,CSDS_group_sessions,staffgroup,,,
1168890,nhsd,CSDS_group_sessions,occupationcode,,,
1168891,nhsd,CSDS_group_sessions,jobrolecode,,,
1168892,nhsd,CSDS_group_sessions,avail_from_dt,,,
1168893,nhsd,CSDS_group_sessions,row_version,,,
