,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1168984,nhsd,CVS,unique_id,,,
1168985,nhsd,CVS,unique_id_uri,,,
1168986,nhsd,CVS,person_gender_code,,,
1168987,nhsd,CVS,date_and_time,,,
1168988,nhsd,CVS,site_code,,,
1168989,nhsd,CVS,action_flag,,,
1168990,nhsd,CVS,performing_professional_body_reg_uri,,,
1168991,nhsd,CVS,recorded_date,,,
1168992,nhsd,CVS,primary_source,,,
1168993,nhsd,CVS,vaccination_procedure_code,,,
1168994,nhsd,CVS,vaccination_procedure_term,,,
1168995,nhsd,CVS,vaccination_situation_code,,,
1168996,nhsd,CVS,vaccination_situation_term,,,
1168997,nhsd,CVS,not_given,,,
1168998,nhsd,CVS,reason_not_given_code,,,
1168999,nhsd,CVS,reason_not_given_term,,,
1169000,nhsd,CVS,dose_sequence,,,
1169001,nhsd,CVS,vaccine_product_code,,,
1169002,nhsd,CVS,vaccine_product_term,,,
1169003,nhsd,CVS,expiry_date,,,
1169004,nhsd,CVS,site_of_vaccination_code,,,
1169005,nhsd,CVS,site_of_vaccination_term,,,
1169006,nhsd,CVS,route_of_vaccination_code,,,
1169007,nhsd,CVS,route_of_vaccination_term,,,
1169008,nhsd,CVS,dose_amount,,,
1169009,nhsd,CVS,dose_unit_code,,,
1169010,nhsd,CVS,dose_unit_term,,,
1169011,nhsd,CVS,indication_code,,,
1169012,nhsd,CVS,indication_term,,,
1169013,nhsd,CVS,nhs_number_status_indicator_code,,,
1169014,nhsd,CVS,nhs_number_status_indicator_description,,,
1169015,nhsd,CVS,site_code_type_uri,,,
1169016,nhsd,CVS,consent_for_treatment_code,,,
1169017,nhsd,CVS,care_setting_type_code,,,
1169018,nhsd,CVS,sending_org_code,,,
1169019,nhsd,CVS,event_id,,,
1169020,nhsd,CVS,mydob,,,
1169021,nhsd,CVS,lsoa_e,,,
1169022,nhsd,CVS,trace_verified,,,
1169023,nhsd,CVS,ics_of_residence,,,
1169024,nhsd,CVS,ics_of_registration,,,
1169025,nhsd,CVS,event_received_ts,,,
1169026,nhsd,CVS,processed_date,,,
1169027,nhsd,CVS,cohortkey_e,,,
1169028,nhsd,CVS,nic_number,,,
1169029,nhsd,CVS,avail_from_dt,,,
1169030,nhsd,CVS,row_version,,,
