,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1166277,nhsd,GDPPR,year_of_birth,,,
1166278,nhsd,GDPPR,year_of_death,,,
1166279,nhsd,GDPPR,sex,,,
1166280,nhsd,GDPPR,ethnic,,,
1166281,nhsd,GDPPR,lsoa_e,,,
1166282,nhsd,GDPPR,practice_e,,,
1166283,nhsd,GDPPR,code,,,
1166284,nhsd,GDPPR,reporting_period_end_date,,,
1166285,nhsd,GDPPR,processed_timestamp,,,
1166286,nhsd,GDPPR,date,,,
1166287,nhsd,GDPPR,record_date,,,
1166288,nhsd,GDPPR,links,,,
1166289,nhsd,GDPPR,value1_condition,,,
1166290,nhsd,GDPPR,value2_condition,,,
1166291,nhsd,GDPPR,value1_prescription,,,
1166292,nhsd,GDPPR,value2_prescription,,,
1166293,nhsd,GDPPR,episode_prescription,,,
1166294,nhsd,GDPPR,episode_condition,,,
1166295,nhsd,GDPPR,gp_system_supplier,,,
1166296,nhsd,GDPPR,cohortkey_e,,,
1166297,nhsd,GDPPR,nic_number,,,
1166298,nhsd,GDPPR,avail_from_dt,,,
1166299,nhsd,GDPPR,row_version,,,
