,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1169458,nhsd,HESAE,aearrivalmode,,,
1169459,nhsd,HESAE,aeattend_exc_planned,,,
1169460,nhsd,HESAE,aeattendcat,,,
1169461,nhsd,HESAE,aeattenddisp,,,
1169462,nhsd,HESAE,aedepttype,,,
1169463,nhsd,HESAE,aeincloctype,,,
1169464,nhsd,HESAE,aekey,,,
1169465,nhsd,HESAE,aekey_flag,,,
1169466,nhsd,HESAE,aepatgroup,,,
1169467,nhsd,HESAE,aerefsource,,,
1169468,nhsd,HESAE,arrivalage,,,
1169469,nhsd,HESAE,arrivalage_calc,,,
1169470,nhsd,HESAE,arrivaldate,,,
1169471,nhsd,HESAE,arrivaltime,,,
1169472,nhsd,HESAE,at_gp_practice,,,
1169473,nhsd,HESAE,at_residence,,,
1169474,nhsd,HESAE,at_treatment,,,
1169475,nhsd,HESAE,cannet,,,
1169476,nhsd,HESAE,canreg,,,
1169477,nhsd,HESAE,ccg_gp_practice_e,,,
1169478,nhsd,HESAE,ccg_residence_e,,,
1169479,nhsd,HESAE,ccg_responsibility_e,,,
1169480,nhsd,HESAE,ccg_responsibility_origin,,,
1169481,nhsd,HESAE,ccg_treatment_e,,,
1169482,nhsd,HESAE,ccg_treatment_origin,,,
1169483,nhsd,HESAE,concldur,,,
1169484,nhsd,HESAE,concltime,,,
1169485,nhsd,HESAE,cr_gp_practice,,,
1169486,nhsd,HESAE,cr_residence,,,
1169487,nhsd,HESAE,cr_treatment,,,
1169488,nhsd,HESAE,depdur,,,
1169489,nhsd,HESAE,deptime,,,
1169490,nhsd,HESAE,diag2_01,,,
1169491,nhsd,HESAE,diag2_02,,,
1169492,nhsd,HESAE,diag2_03,,,
1169493,nhsd,HESAE,diag2_04,,,
1169494,nhsd,HESAE,diag2_05,,,
1169495,nhsd,HESAE,diag2_06,,,
1169496,nhsd,HESAE,diag2_07,,,
1169497,nhsd,HESAE,diag2_08,,,
1169498,nhsd,HESAE,diag2_09,,,
1169499,nhsd,HESAE,diag2_10,,,
1169500,nhsd,HESAE,diag2_11,,,
1169501,nhsd,HESAE,diag2_12,,,
1169502,nhsd,HESAE,diag3_01,,,
1169503,nhsd,HESAE,diag3_02,,,
1169504,nhsd,HESAE,diag3_03,,,
1169505,nhsd,HESAE,diag3_04,,,
1169506,nhsd,HESAE,diag3_05,,,
1169507,nhsd,HESAE,diag3_06,,,
1169508,nhsd,HESAE,diag3_07,,,
1169509,nhsd,HESAE,diag3_08,,,
1169510,nhsd,HESAE,diag3_09,,,
1169511,nhsd,HESAE,diag3_10,,,
1169512,nhsd,HESAE,diag3_11,,,
1169513,nhsd,HESAE,diag3_12,,,
1169514,nhsd,HESAE,diaga_01,,,
1169515,nhsd,HESAE,diaga_02,,,
1169516,nhsd,HESAE,diaga_03,,,
1169517,nhsd,HESAE,diaga_04,,,
1169518,nhsd,HESAE,diaga_05,,,
1169519,nhsd,HESAE,diaga_06,,,
1169520,nhsd,HESAE,diaga_07,,,
1169521,nhsd,HESAE,diaga_08,,,
1169522,nhsd,HESAE,diaga_09,,,
1169523,nhsd,HESAE,diaga_10,,,
1169524,nhsd,HESAE,diaga_11,,,
1169525,nhsd,HESAE,diaga_12,,,
1169526,nhsd,HESAE,diags_01,,,
1169527,nhsd,HESAE,diags_02,,,
1169528,nhsd,HESAE,diags_03,,,
1169529,nhsd,HESAE,diags_04,,,
1169530,nhsd,HESAE,diags_05,,,
1169531,nhsd,HESAE,diags_06,,,
1169532,nhsd,HESAE,diags_07,,,
1169533,nhsd,HESAE,diags_08,,,
1169534,nhsd,HESAE,diags_09,,,
1169535,nhsd,HESAE,diags_10,,,
1169536,nhsd,HESAE,diags_11,,,
1169537,nhsd,HESAE,diags_12,,,
1169538,nhsd,HESAE,diagscheme,,,
1169539,nhsd,HESAE,epikey,,,
1169540,nhsd,HESAE,ethnos,,,
1169541,nhsd,HESAE,fyear,,,
1169542,nhsd,HESAE,gortreat,,,
1169543,nhsd,HESAE,gpprac_e,,,
1169544,nhsd,HESAE,initdur,,,
1169545,nhsd,HESAE,inittime,,,
1169546,nhsd,HESAE,invest2_01,,,
1169547,nhsd,HESAE,invest2_02,,,
1169548,nhsd,HESAE,invest2_03,,,
1169549,nhsd,HESAE,invest2_04,,,
1169550,nhsd,HESAE,invest2_05,,,
1169551,nhsd,HESAE,invest2_06,,,
1169552,nhsd,HESAE,invest2_07,,,
1169553,nhsd,HESAE,invest2_08,,,
1169554,nhsd,HESAE,invest2_09,,,
1169555,nhsd,HESAE,invest2_10,,,
1169556,nhsd,HESAE,invest2_11,,,
1169557,nhsd,HESAE,invest2_12,,,
1169558,nhsd,HESAE,lsoa01_e,,,
1169559,nhsd,HESAE,lsoa11_e,,,
1169560,nhsd,HESAE,msoa01_e,,,
1169561,nhsd,HESAE,msoa11_e,,,
1169562,nhsd,HESAE,partyear,,,
1169563,nhsd,HESAE,pcon,,,
1169564,nhsd,HESAE,pcon_ons_e,,,
1169565,nhsd,HESAE,pctcode_his_e,,,
1169566,nhsd,HESAE,pctorig_his,,,
1169567,nhsd,HESAE,pcttreat_e,,,
1169568,nhsd,HESAE,procode3_e,,,
1169569,nhsd,HESAE,procode5_e,,,
1169570,nhsd,HESAE,procodet_e,,,
1169571,nhsd,HESAE,purcode_e,,,
1169572,nhsd,HESAE,rescty_e,,,
1169573,nhsd,HESAE,rescty_ons_e,,,
1169574,nhsd,HESAE,resgor,,,
1169575,nhsd,HESAE,resgor_ons,,,
1169576,nhsd,HESAE,resladst,,,
1169577,nhsd,HESAE,resladst_ons,,,
1169578,nhsd,HESAE,respct_his_e,,,
1169579,nhsd,HESAE,resstha_his,,,
1169580,nhsd,HESAE,sex,,,
1169581,nhsd,HESAE,sthatret,,,
1169582,nhsd,HESAE,sushrg,,,
1169583,nhsd,HESAE,treat2_01,,,
1169584,nhsd,HESAE,treat2_02,,,
1169585,nhsd,HESAE,treat2_03,,,
1169586,nhsd,HESAE,treat2_04,,,
1169587,nhsd,HESAE,treat2_05,,,
1169588,nhsd,HESAE,treat2_06,,,
1169589,nhsd,HESAE,treat2_07,,,
1169590,nhsd,HESAE,treat2_08,,,
1169591,nhsd,HESAE,treat2_09,,,
1169592,nhsd,HESAE,treat2_10,,,
1169593,nhsd,HESAE,treat2_11,,,
1169594,nhsd,HESAE,treat2_12,,,
1169595,nhsd,HESAE,treat3_01,,,
1169596,nhsd,HESAE,treat3_02,,,
1169597,nhsd,HESAE,treat3_03,,,
1169598,nhsd,HESAE,treat3_04,,,
1169599,nhsd,HESAE,treat3_05,,,
1169600,nhsd,HESAE,treat3_06,,,
1169601,nhsd,HESAE,treat3_07,,,
1169602,nhsd,HESAE,treat3_08,,,
1169603,nhsd,HESAE,treat3_09,,,
1169604,nhsd,HESAE,treat3_10,,,
1169605,nhsd,HESAE,treat3_11,,,
1169606,nhsd,HESAE,treat3_12,,,
1169607,nhsd,HESAE,tretdur,,,
1169608,nhsd,HESAE,trettime,,,
1169609,nhsd,HESAE,mydob,,,
1169610,nhsd,HESAE,cohortkey_e,,,
1169611,nhsd,HESAE,nic_number,,,
1169612,nhsd,HESAE,avail_from_dt,,,
1169613,nhsd,HESAE,row_version,,,
