,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1169365,nhsd,HESAE_OTR,activage,,,
1169366,nhsd,HESAE_OTR,aekey,,,
1169367,nhsd,HESAE_OTR,appdate,,,
1169368,nhsd,HESAE_OTR,carersi,,,
1169369,nhsd,HESAE_OTR,cdsextdate,,,
1169370,nhsd,HESAE_OTR,cdsverprotid,,,
1169371,nhsd,HESAE_OTR,csnum,,,
1169372,nhsd,HESAE_OTR,currward_e,,,
1169373,nhsd,HESAE_OTR,currward_ons_e,,,
1169374,nhsd,HESAE_OTR,diag_01,,,
1169375,nhsd,HESAE_OTR,diag_02,,,
1169376,nhsd,HESAE_OTR,diag_03,,,
1169377,nhsd,HESAE_OTR,diag_04,,,
1169378,nhsd,HESAE_OTR,diag_05,,,
1169379,nhsd,HESAE_OTR,diag_06,,,
1169380,nhsd,HESAE_OTR,diag_07,,,
1169381,nhsd,HESAE_OTR,diag_08,,,
1169382,nhsd,HESAE_OTR,diag_09,,,
1169383,nhsd,HESAE_OTR,diag_10,,,
1169384,nhsd,HESAE_OTR,diag_11,,,
1169385,nhsd,HESAE_OTR,diag_12,,,
1169386,nhsd,HESAE_OTR,domproc,,,
1169387,nhsd,HESAE_OTR,fyear,,,
1169388,nhsd,HESAE_OTR,gpprpct_e,,,
1169389,nhsd,HESAE_OTR,gpprstha,,,
1169390,nhsd,HESAE_OTR,hatreat,,,
1169391,nhsd,HESAE_OTR,hrgnhs,,,
1169392,nhsd,HESAE_OTR,hrgnhsvn,,,
1169393,nhsd,HESAE_OTR,imd04_decile,,,
1169394,nhsd,HESAE_OTR,invest_01,,,
1169395,nhsd,HESAE_OTR,invest_02,,,
1169396,nhsd,HESAE_OTR,invest_03,,,
1169397,nhsd,HESAE_OTR,invest_04,,,
1169398,nhsd,HESAE_OTR,invest_05,,,
1169399,nhsd,HESAE_OTR,invest_06,,,
1169400,nhsd,HESAE_OTR,invest_07,,,
1169401,nhsd,HESAE_OTR,invest_08,,,
1169402,nhsd,HESAE_OTR,invest_09,,,
1169403,nhsd,HESAE_OTR,invest_10,,,
1169404,nhsd,HESAE_OTR,invest_11,,,
1169405,nhsd,HESAE_OTR,invest_12,,,
1169406,nhsd,HESAE_OTR,newnhsno_check,,,
1169407,nhsd,HESAE_OTR,nhsnoind,,,
1169408,nhsd,HESAE_OTR,nodiags,,,
1169409,nhsd,HESAE_OTR,noinvests,,,
1169410,nhsd,HESAE_OTR,notreats,,,
1169411,nhsd,HESAE_OTR,oacode6_e,,,
1169412,nhsd,HESAE_OTR,orgpppid_e,,,
1169413,nhsd,HESAE_OTR,partyear,,,
1169414,nhsd,HESAE_OTR,pcfound,,,
1169415,nhsd,HESAE_OTR,pctcode02,,,
1169416,nhsd,HESAE_OTR,pctcode06,,,
1169417,nhsd,HESAE_OTR,pctorig02,,,
1169418,nhsd,HESAE_OTR,perend,,,
1169419,nhsd,HESAE_OTR,preggmp,,,
1169420,nhsd,HESAE_OTR,procode_e,,,
1169421,nhsd,HESAE_OTR,protype,,,
1169422,nhsd,HESAE_OTR,purstha,,,
1169423,nhsd,HESAE_OTR,purval,,,
1169424,nhsd,HESAE_OTR,resha,,,
1169425,nhsd,HESAE_OTR,respct02,,,
1169426,nhsd,HESAE_OTR,respct06,,,
1169427,nhsd,HESAE_OTR,resro,,,
1169428,nhsd,HESAE_OTR,resstha02,,,
1169429,nhsd,HESAE_OTR,resstha06,,,
1169430,nhsd,HESAE_OTR,rotreat,,,
1169431,nhsd,HESAE_OTR,rttperend,,,
1169432,nhsd,HESAE_OTR,rttperstart,,,
1169433,nhsd,HESAE_OTR,rttperstat,,,
1169434,nhsd,HESAE_OTR,rururb_ind,,,
1169435,nhsd,HESAE_OTR,subdate,,,
1169436,nhsd,HESAE_OTR,sushrginfo,,,
1169437,nhsd,HESAE_OTR,sushrgverinfo,,,
1169438,nhsd,HESAE_OTR,sushrgvers,,,
1169439,nhsd,HESAE_OTR,suslddate,,,
1169440,nhsd,HESAE_OTR,susrecid,,,
1169441,nhsd,HESAE_OTR,susspellid,,,
1169442,nhsd,HESAE_OTR,treat_01,,,
1169443,nhsd,HESAE_OTR,treat_02,,,
1169444,nhsd,HESAE_OTR,treat_03,,,
1169445,nhsd,HESAE_OTR,treat_04,,,
1169446,nhsd,HESAE_OTR,treat_05,,,
1169447,nhsd,HESAE_OTR,treat_06,,,
1169448,nhsd,HESAE_OTR,treat_07,,,
1169449,nhsd,HESAE_OTR,treat_08,,,
1169450,nhsd,HESAE_OTR,treat_09,,,
1169451,nhsd,HESAE_OTR,treat_10,,,
1169452,nhsd,HESAE_OTR,treat_11,,,
1169453,nhsd,HESAE_OTR,treat_12,,,
1169454,nhsd,HESAE_OTR,waitdays,,,
1169455,nhsd,HESAE_OTR,ward91_e,,,
1169456,nhsd,HESAE_OTR,avail_from_dt,,,
1169457,nhsd,HESAE_OTR,row_version,,,
