,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170002,nhsd,HESAPC,admidate,,,
1170003,nhsd,HESAPC,admimeth,,,
1170004,nhsd,HESAPC,admincat,,,
1170005,nhsd,HESAPC,admincatst,,,
1170006,nhsd,HESAPC,admisorc,,,
1170007,nhsd,HESAPC,aekey,,,
1170008,nhsd,HESAPC,alcbrddiag,,,
1170009,nhsd,HESAPC,alcbrdfrac,,,
1170010,nhsd,HESAPC,alcdiag_4,,,
1170011,nhsd,HESAPC,alcfrac,,,
1170012,nhsd,HESAPC,alcnrwdiag,,,
1170013,nhsd,HESAPC,alcnrwfrac,,,
1170014,nhsd,HESAPC,at_gp_practice,,,
1170015,nhsd,HESAPC,at_residence,,,
1170016,nhsd,HESAPC,at_treatment,,,
1170017,nhsd,HESAPC,cannet,,,
1170018,nhsd,HESAPC,canreg,,,
1170019,nhsd,HESAPC,cause_3,,,
1170020,nhsd,HESAPC,cause_4,,,
1170021,nhsd,HESAPC,ccg_gp_practice_e,,,
1170022,nhsd,HESAPC,ccg_residence_e,,,
1170023,nhsd,HESAPC,ccg_responsibility_e,,,
1170024,nhsd,HESAPC,ccg_responsibility_origin_e,,,
1170025,nhsd,HESAPC,ccg_treatment_e,,,
1170026,nhsd,HESAPC,ccg_treatment_origin_e,,,
1170027,nhsd,HESAPC,classpat,,,
1170028,nhsd,HESAPC,cr_gp_practice,,,
1170029,nhsd,HESAPC,cr_residence,,,
1170030,nhsd,HESAPC,cr_treatment,,,
1170031,nhsd,HESAPC,diag_3_01,,,
1170032,nhsd,HESAPC,diag_3_02,,,
1170033,nhsd,HESAPC,diag_3_03,,,
1170034,nhsd,HESAPC,diag_3_04,,,
1170035,nhsd,HESAPC,diag_3_05,,,
1170036,nhsd,HESAPC,diag_3_06,,,
1170037,nhsd,HESAPC,diag_3_07,,,
1170038,nhsd,HESAPC,diag_3_08,,,
1170039,nhsd,HESAPC,diag_3_09,,,
1170040,nhsd,HESAPC,diag_3_10,,,
1170041,nhsd,HESAPC,diag_3_11,,,
1170042,nhsd,HESAPC,diag_3_12,,,
1170043,nhsd,HESAPC,diag_3_concat,,,
1170044,nhsd,HESAPC,diag_4_01,,,
1170045,nhsd,HESAPC,diag_4_02,,,
1170046,nhsd,HESAPC,diag_4_03,,,
1170047,nhsd,HESAPC,diag_4_04,,,
1170048,nhsd,HESAPC,diag_4_05,,,
1170049,nhsd,HESAPC,diag_4_06,,,
1170050,nhsd,HESAPC,diag_4_07,,,
1170051,nhsd,HESAPC,diag_4_08,,,
1170052,nhsd,HESAPC,diag_4_09,,,
1170053,nhsd,HESAPC,diag_4_10,,,
1170054,nhsd,HESAPC,diag_4_11,,,
1170055,nhsd,HESAPC,diag_4_12,,,
1170056,nhsd,HESAPC,diag_4_concat,,,
1170057,nhsd,HESAPC,diag_count,,,
1170058,nhsd,HESAPC,disdate,,,
1170059,nhsd,HESAPC,disdest,,,
1170060,nhsd,HESAPC,dismeth,,,
1170061,nhsd,HESAPC,elecdate,,,
1170062,nhsd,HESAPC,elecdur,,,
1170063,nhsd,HESAPC,elecdur_calc,,,
1170064,nhsd,HESAPC,epidur,,,
1170065,nhsd,HESAPC,epiend,,,
1170066,nhsd,HESAPC,epikey,,,
1170067,nhsd,HESAPC,epiorder,,,
