,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1166549,nhsd,HESAPC_acp,acpdisp_1,,,
1166550,nhsd,HESAPC_acp,acpdisp_2,,,
1166551,nhsd,HESAPC_acp,acpdisp_3,,,
1166552,nhsd,HESAPC_acp,acpdisp_4,,,
1166553,nhsd,HESAPC_acp,acpdisp_5,,,
1166554,nhsd,HESAPC_acp,acpdisp_6,,,
1166555,nhsd,HESAPC_acp,acpdisp_7,,,
1166556,nhsd,HESAPC_acp,acpdisp_8,,,
1166557,nhsd,HESAPC_acp,acpdisp_9,,,
1166558,nhsd,HESAPC_acp,acpdqind_1,,,
1166559,nhsd,HESAPC_acp,acpdqind_2,,,
1166560,nhsd,HESAPC_acp,acpdqind_3,,,
1166561,nhsd,HESAPC_acp,acpdqind_4,,,
1166562,nhsd,HESAPC_acp,acpdqind_5,,,
1166563,nhsd,HESAPC_acp,acpdqind_6,,,
1166564,nhsd,HESAPC_acp,acpdqind_7,,,
1166565,nhsd,HESAPC_acp,acpdqind_8,,,
1166566,nhsd,HESAPC_acp,acpdqind_9,,,
1166567,nhsd,HESAPC_acp,acpend_1,,,
1166568,nhsd,HESAPC_acp,acpend_2,,,
1166569,nhsd,HESAPC_acp,acpend_3,,,
1166570,nhsd,HESAPC_acp,acpend_4,,,
1166571,nhsd,HESAPC_acp,acpend_5,,,
1166572,nhsd,HESAPC_acp,acpend_6,,,
1166573,nhsd,HESAPC_acp,acpend_7,,,
1166574,nhsd,HESAPC_acp,acpend_8,,,
1166575,nhsd,HESAPC_acp,acpend_9,,,
1166576,nhsd,HESAPC_acp,acploc_1,,,
1166577,nhsd,HESAPC_acp,acploc_2,,,
1166578,nhsd,HESAPC_acp,acploc_3,,,
1166579,nhsd,HESAPC_acp,acploc_4,,,
1166580,nhsd,HESAPC_acp,acploc_5,,,
1166581,nhsd,HESAPC_acp,acploc_6,,,
1166582,nhsd,HESAPC_acp,acploc_7,,,
1166583,nhsd,HESAPC_acp,acploc_8,,,
1166584,nhsd,HESAPC_acp,acploc_9,,,
1166585,nhsd,HESAPC_acp,acpn_1,,,
1166586,nhsd,HESAPC_acp,acpn_2,,,
1166587,nhsd,HESAPC_acp,acpn_3,,,
1166588,nhsd,HESAPC_acp,acpn_4,,,
1166589,nhsd,HESAPC_acp,acpn_5,,,
1166590,nhsd,HESAPC_acp,acpn_6,,,
1166591,nhsd,HESAPC_acp,acpn_7,,,
1166592,nhsd,HESAPC_acp,acpn_8,,,
1166593,nhsd,HESAPC_acp,acpn_9,,,
1166594,nhsd,HESAPC_acp,acpout_1,,,
1166595,nhsd,HESAPC_acp,acpout_2,,,
1166596,nhsd,HESAPC_acp,acpout_3,,,
1166597,nhsd,HESAPC_acp,acpout_4,,,
1166598,nhsd,HESAPC_acp,acpout_5,,,
1166599,nhsd,HESAPC_acp,acpout_6,,,
1166600,nhsd,HESAPC_acp,acpout_7,,,
1166601,nhsd,HESAPC_acp,acpout_8,,,
1166602,nhsd,HESAPC_acp,acpout_9,,,
1166603,nhsd,HESAPC_acp,acpplan_1,,,
1166604,nhsd,HESAPC_acp,acpplan_2,,,
1166605,nhsd,HESAPC_acp,acpplan_3,,,
1166606,nhsd,HESAPC_acp,acpplan_4,,,
1166607,nhsd,HESAPC_acp,acpplan_5,,,
1166608,nhsd,HESAPC_acp,acpplan_6,,,
1166609,nhsd,HESAPC_acp,acpplan_7,,,
1166610,nhsd,HESAPC_acp,acpplan_8,,,
1166611,nhsd,HESAPC_acp,acpplan_9,,,
1166612,nhsd,HESAPC_acp,acpsour_1,,,
1166613,nhsd,HESAPC_acp,acpsour_2,,,
1166614,nhsd,HESAPC_acp,acpsour_3,,,
1166615,nhsd,HESAPC_acp,acpsour_4,,,
1166616,nhsd,HESAPC_acp,acpsour_5,,,
1166617,nhsd,HESAPC_acp,acpsour_6,,,
1166618,nhsd,HESAPC_acp,acpsour_7,,,
1166619,nhsd,HESAPC_acp,acpsour_8,,,
1166620,nhsd,HESAPC_acp,acpsour_9,,,
1166621,nhsd,HESAPC_acp,acpspef_1,,,
1166622,nhsd,HESAPC_acp,acpspef_2,,,
1166623,nhsd,HESAPC_acp,acpspef_3,,,
1166624,nhsd,HESAPC_acp,acpspef_4,,,
1166625,nhsd,HESAPC_acp,acpspef_5,,,
1166626,nhsd,HESAPC_acp,acpspef_6,,,
1166627,nhsd,HESAPC_acp,acpspef_7,,,
1166628,nhsd,HESAPC_acp,acpspef_8,,,
1166629,nhsd,HESAPC_acp,acpspef_9,,,
1166630,nhsd,HESAPC_acp,acpstar_1,,,
1166631,nhsd,HESAPC_acp,acpstar_2,,,
1166632,nhsd,HESAPC_acp,acpstar_3,,,
1166633,nhsd,HESAPC_acp,acpstar_4,,,
1166634,nhsd,HESAPC_acp,acpstar_5,,,
1166635,nhsd,HESAPC_acp,acpstar_6,,,
1166636,nhsd,HESAPC_acp,acpstar_7,,,
1166637,nhsd,HESAPC_acp,acpstar_8,,,
1166638,nhsd,HESAPC_acp,acpstar_9,,,
1166639,nhsd,HESAPC_acp,depdays_1,,,
1166640,nhsd,HESAPC_acp,depdays_2,,,
1166641,nhsd,HESAPC_acp,depdays_3,,,
1166642,nhsd,HESAPC_acp,depdays_4,,,
1166643,nhsd,HESAPC_acp,depdays_5,,,
1166644,nhsd,HESAPC_acp,depdays_6,,,
1166645,nhsd,HESAPC_acp,depdays_7,,,
1166646,nhsd,HESAPC_acp,depdays_8,,,
1166647,nhsd,HESAPC_acp,depdays_9,,,
1166648,nhsd,HESAPC_acp,epikey,,,
