,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1169737,nhsd,HESAPC_mat,anagest,,,
1169738,nhsd,HESAPC_mat,anasdate,,,
1169739,nhsd,HESAPC_mat,antedur,,,
1169740,nhsd,HESAPC_mat,biresus_1,,,
1169741,nhsd,HESAPC_mat,biresus_2,,,
1169742,nhsd,HESAPC_mat,biresus_3,,,
1169743,nhsd,HESAPC_mat,biresus_4,,,
1169744,nhsd,HESAPC_mat,biresus_5,,,
1169745,nhsd,HESAPC_mat,biresus_6,,,
1169746,nhsd,HESAPC_mat,biresus_7,,,
1169747,nhsd,HESAPC_mat,biresus_8,,,
1169748,nhsd,HESAPC_mat,biresus_9,,,
1169749,nhsd,HESAPC_mat,birordr_1,,,
1169750,nhsd,HESAPC_mat,birordr_2,,,
1169751,nhsd,HESAPC_mat,birordr_3,,,
1169752,nhsd,HESAPC_mat,birordr_4,,,
1169753,nhsd,HESAPC_mat,birordr_5,,,
1169754,nhsd,HESAPC_mat,birordr_6,,,
1169755,nhsd,HESAPC_mat,birordr_7,,,
1169756,nhsd,HESAPC_mat,birordr_8,,,
1169757,nhsd,HESAPC_mat,birordr_9,,,
1169758,nhsd,HESAPC_mat,birstat_1,,,
1169759,nhsd,HESAPC_mat,birstat_2,,,
1169760,nhsd,HESAPC_mat,birstat_3,,,
1169761,nhsd,HESAPC_mat,birstat_4,,,
1169762,nhsd,HESAPC_mat,birstat_5,,,
1169763,nhsd,HESAPC_mat,birstat_6,,,
1169764,nhsd,HESAPC_mat,birstat_7,,,
1169765,nhsd,HESAPC_mat,birstat_8,,,
1169766,nhsd,HESAPC_mat,birstat_9,,,
1169767,nhsd,HESAPC_mat,birweit_1,,,
1169768,nhsd,HESAPC_mat,birweit_2,,,
1169769,nhsd,HESAPC_mat,birweit_3,,,
1169770,nhsd,HESAPC_mat,birweit_4,,,
1169771,nhsd,HESAPC_mat,birweit_5,,,
1169772,nhsd,HESAPC_mat,birweit_6,,,
1169773,nhsd,HESAPC_mat,birweit_7,,,
1169774,nhsd,HESAPC_mat,birweit_8,,,
1169775,nhsd,HESAPC_mat,birweit_9,,,
1169776,nhsd,HESAPC_mat,delchang,,,
1169777,nhsd,HESAPC_mat,delinten,,,
1169778,nhsd,HESAPC_mat,delmeth_1,,,
1169779,nhsd,HESAPC_mat,delmeth_2,,,
1169780,nhsd,HESAPC_mat,delmeth_3,,,
1169781,nhsd,HESAPC_mat,delmeth_4,,,
1169782,nhsd,HESAPC_mat,delmeth_5,,,
1169783,nhsd,HESAPC_mat,delmeth_6,,,
1169784,nhsd,HESAPC_mat,delmeth_7,,,
1169785,nhsd,HESAPC_mat,delmeth_8,,,
1169786,nhsd,HESAPC_mat,delmeth_9,,,
1169787,nhsd,HESAPC_mat,delmeth_d,,,
1169788,nhsd,HESAPC_mat,delonset,,,
1169789,nhsd,HESAPC_mat,delplac_1,,,
1169790,nhsd,HESAPC_mat,delplac_2,,,
1169791,nhsd,HESAPC_mat,delplac_3,,,
1169792,nhsd,HESAPC_mat,delplac_4,,,
1169793,nhsd,HESAPC_mat,delplac_5,,,
1169794,nhsd,HESAPC_mat,delplac_6,,,
1169795,nhsd,HESAPC_mat,delplac_7,,,
1169796,nhsd,HESAPC_mat,delplac_8,,,
1169797,nhsd,HESAPC_mat,delplac_9,,,
1169798,nhsd,HESAPC_mat,delposan,,,
1169799,nhsd,HESAPC_mat,delprean,,,
1169800,nhsd,HESAPC_mat,delstat_1,,,
1169801,nhsd,HESAPC_mat,delstat_2,,,
1169802,nhsd,HESAPC_mat,delstat_3,,,
1169803,nhsd,HESAPC_mat,delstat_4,,,
1169804,nhsd,HESAPC_mat,delstat_5,,,
1169805,nhsd,HESAPC_mat,delstat_6,,,
1169806,nhsd,HESAPC_mat,delstat_7,,,
1169807,nhsd,HESAPC_mat,delstat_8,,,
1169808,nhsd,HESAPC_mat,delstat_9,,,
1169809,nhsd,HESAPC_mat,epikey,,,
1169810,nhsd,HESAPC_mat,fyear,,,
1169811,nhsd,HESAPC_mat,gestat_1,,,
1169812,nhsd,HESAPC_mat,gestat_2,,,
1169813,nhsd,HESAPC_mat,gestat_3,,,
1169814,nhsd,HESAPC_mat,gestat_4,,,
1169815,nhsd,HESAPC_mat,gestat_5,,,
1169816,nhsd,HESAPC_mat,gestat_6,,,
1169817,nhsd,HESAPC_mat,gestat_7,,,
1169818,nhsd,HESAPC_mat,gestat_8,,,
1169819,nhsd,HESAPC_mat,gestat_9,,,
1169820,nhsd,HESAPC_mat,matage,,,
1169821,nhsd,HESAPC_mat,maternity_episode_type,,,
1169822,nhsd,HESAPC_mat,numbaby,,,
1169823,nhsd,HESAPC_mat,numpreg,,,
1169824,nhsd,HESAPC_mat,numtailb,,,
1169825,nhsd,HESAPC_mat,partyear,,,
1169826,nhsd,HESAPC_mat,postdur,,,
1169827,nhsd,HESAPC_mat,sexbaby_1,,,
1169828,nhsd,HESAPC_mat,sexbaby_2,,,
1169829,nhsd,HESAPC_mat,sexbaby_3,,,
1169830,nhsd,HESAPC_mat,sexbaby_4,,,
1169831,nhsd,HESAPC_mat,sexbaby_5,,,
1169832,nhsd,HESAPC_mat,sexbaby_6,,,
1169833,nhsd,HESAPC_mat,sexbaby_7,,,
1169834,nhsd,HESAPC_mat,sexbaby_8,,,
1169835,nhsd,HESAPC_mat,sexbaby_9,,,
1169836,nhsd,HESAPC_mat,avail_from_dt,,,
1169837,nhsd,HESAPC_mat,row_version,,,
