,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1169838,nhsd,HESAPC_otr,acscflag,,,
1169839,nhsd,HESAPC_otr,activage,,,
1169840,nhsd,HESAPC_otr,admiage,,,
1169841,nhsd,HESAPC_otr,admistat,,,
1169842,nhsd,HESAPC_otr,alcdiag,,,
1169843,nhsd,HESAPC_otr,bedyear,,,
1169844,nhsd,HESAPC_otr,carersi,,,
1169845,nhsd,HESAPC_otr,category,,,
1169846,nhsd,HESAPC_otr,cause,,,
1169847,nhsd,HESAPC_otr,cdsextdate,,,
1169848,nhsd,HESAPC_otr,cdsverprotid,,,
1169849,nhsd,HESAPC_otr,cdsversion,,,
1169850,nhsd,HESAPC_otr,cendur,,,
1169851,nhsd,HESAPC_otr,censage,,,
1169852,nhsd,HESAPC_otr,censtat,,,
1169853,nhsd,HESAPC_otr,cenward,,,
1169854,nhsd,HESAPC_otr,csnum,,,
1169855,nhsd,HESAPC_otr,currward_e,,,
1169856,nhsd,HESAPC_otr,currward_ons_e,,,
1169857,nhsd,HESAPC_otr,detdur,,,
1169858,nhsd,HESAPC_otr,detndate,,,
1169859,nhsd,HESAPC_otr,diag_01,,,
1169860,nhsd,HESAPC_otr,diag_02,,,
1169861,nhsd,HESAPC_otr,diag_03,,,
1169862,nhsd,HESAPC_otr,diag_04,,,
1169863,nhsd,HESAPC_otr,diag_05,,,
1169864,nhsd,HESAPC_otr,diag_06,,,
1169865,nhsd,HESAPC_otr,diag_07,,,
1169866,nhsd,HESAPC_otr,diag_08,,,
1169867,nhsd,HESAPC_otr,diag_09,,,
1169868,nhsd,HESAPC_otr,diag_10,,,
1169869,nhsd,HESAPC_otr,diag_11,,,
1169870,nhsd,HESAPC_otr,diag_12,,,
1169871,nhsd,HESAPC_otr,diag_13,,,
1169872,nhsd,HESAPC_otr,diag_14,,,
1169873,nhsd,HESAPC_otr,diag_15,,,
1169874,nhsd,HESAPC_otr,diag_16,,,
1169875,nhsd,HESAPC_otr,diag_17,,,
1169876,nhsd,HESAPC_otr,diag_18,,,
1169877,nhsd,HESAPC_otr,diag_19,,,
1169878,nhsd,HESAPC_otr,diag_20,,,
1169879,nhsd,HESAPC_otr,dis_cfl,,,
1169880,nhsd,HESAPC_otr,disreadydate,,,
1169881,nhsd,HESAPC_otr,domproc,,,
1169882,nhsd,HESAPC_otr,earldatoff,,,
1169883,nhsd,HESAPC_otr,endage,,,
1169884,nhsd,HESAPC_otr,epikey,,,
1169885,nhsd,HESAPC_otr,ethraw,,,
1169886,nhsd,HESAPC_otr,firstreg,,,
1169887,nhsd,HESAPC_otr,fyear,,,
1169888,nhsd,HESAPC_otr,gppracha,,,
1169889,nhsd,HESAPC_otr,gppracro,,,
