,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170172,nhsd,HESCC,acardsupdays,,,
1170173,nhsd,HESCC,aressupdays,,,
1170174,nhsd,HESCC,bcardsupdays,,,
1170175,nhsd,HESCC,bestmatch,,,
1170176,nhsd,HESCC,bressupdays,,,
1170177,nhsd,HESCC,ccadmisorc,,,
1170178,nhsd,HESCC,ccadmitype,,,
1170179,nhsd,HESCC,ccapcrel,,,
1170180,nhsd,HESCC,ccdisdate,,,
1170181,nhsd,HESCC,ccdisdest,,,
1170182,nhsd,HESCC,ccdisloc,,,
1170183,nhsd,HESCC,ccdisrdydate,,,
1170184,nhsd,HESCC,ccdisrdytime,,,
1170185,nhsd,HESCC,ccdisstat,,,
1170186,nhsd,HESCC,ccdistime,,,
1170187,nhsd,HESCC,cclev2days,,,
1170188,nhsd,HESCC,cclev3days,,,
1170189,nhsd,HESCC,ccsorcloc,,,
1170190,nhsd,HESCC,ccstartdate,,,
1170191,nhsd,HESCC,ccstarttime,,,
1170192,nhsd,HESCC,ccunitfun,,,
1170193,nhsd,HESCC,dermsupdays,,,
1170194,nhsd,HESCC,gisupdays,,,
1170195,nhsd,HESCC,liversupdays,,,
1170196,nhsd,HESCC,neurosupdays,,,
1170197,nhsd,HESCC,orgsupmax,,,
1170198,nhsd,HESCC,rensupdays,,,
1170199,nhsd,HESCC,susrecid,,,
1170200,nhsd,HESCC,unitbedconfig,,,
1170201,nhsd,HESCC,cohortkey_e,,,
1170202,nhsd,HESCC,nic_number,,,
1170203,nhsd,HESCC,avail_from_dt,,,
1170204,nhsd,HESCC,row_version,,,
