,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167238,nhsd,HESOP,admincat,,,
1167239,nhsd,HESOP,apptage,,,
1167240,nhsd,HESOP,apptage_calc,,,
1167241,nhsd,HESOP,apptdate,,,
1167242,nhsd,HESOP,at_gp_practice,,,
1167243,nhsd,HESOP,at_residence,,,
1167244,nhsd,HESOP,at_treatment,,,
1167245,nhsd,HESOP,atentype,,,
1167246,nhsd,HESOP,attended,,,
1167247,nhsd,HESOP,attendkey,,,
1167248,nhsd,HESOP,attendkey_flag,,,
1167249,nhsd,HESOP,cannet,,,
1167250,nhsd,HESOP,canreg,,,
1167251,nhsd,HESOP,ccg_gp_practice_e,,,
1167252,nhsd,HESOP,ccg_residence_e,,,
1167253,nhsd,HESOP,ccg_responsibility_e,,,
1167254,nhsd,HESOP,ccg_responsibility_origin,,,
1167255,nhsd,HESOP,ccg_treatment_e,,,
1167256,nhsd,HESOP,ccg_treatment_origin,,,
1167257,nhsd,HESOP,cr_gp_practice,,,
1167258,nhsd,HESOP,cr_residence,,,
1167259,nhsd,HESOP,cr_treatment,,,
1167260,nhsd,HESOP,diag_3_01,,,
1167261,nhsd,HESOP,diag_3_02,,,
1167262,nhsd,HESOP,diag_3_03,,,
1167263,nhsd,HESOP,diag_3_04,,,
1167264,nhsd,HESOP,diag_3_05,,,
1167265,nhsd,HESOP,diag_3_06,,,
1167266,nhsd,HESOP,diag_3_07,,,
1167267,nhsd,HESOP,diag_3_08,,,
1167268,nhsd,HESOP,diag_3_09,,,
1167269,nhsd,HESOP,diag_3_10,,,
1167270,nhsd,HESOP,diag_3_11,,,
1167271,nhsd,HESOP,diag_3_12,,,
1167272,nhsd,HESOP,diag_3_concat,,,
1167273,nhsd,HESOP,diag_4_01,,,
1167274,nhsd,HESOP,diag_4_02,,,
1167275,nhsd,HESOP,diag_4_03,,,
1167276,nhsd,HESOP,diag_4_04,,,
1167277,nhsd,HESOP,diag_4_05,,,
1167278,nhsd,HESOP,diag_4_06,,,
1167279,nhsd,HESOP,diag_4_07,,,
1167280,nhsd,HESOP,diag_4_08,,,
1167281,nhsd,HESOP,diag_4_09,,,
1167282,nhsd,HESOP,diag_4_10,,,
1167283,nhsd,HESOP,diag_4_11,,,
1167284,nhsd,HESOP,diag_4_12,,,
1167285,nhsd,HESOP,diag_4_concat,,,
1167286,nhsd,HESOP,diag_count,,,
1167287,nhsd,HESOP,dnadate,,,
1167288,nhsd,HESOP,ethnos,,,
1167289,nhsd,HESOP,firstatt,,,
1167290,nhsd,HESOP,fyear,,,
1167291,nhsd,HESOP,gortreat,,,
1167292,nhsd,HESOP,gpprac_e,,,
1167293,nhsd,HESOP,locclass,,,
1167294,nhsd,HESOP,loctype,,,
1167295,nhsd,HESOP,lsoa01_e,,,
1167296,nhsd,HESOP,lsoa11_e,,,
1167297,nhsd,HESOP,mainspef,,,
1167298,nhsd,HESOP,msoa01_e,,,
1167299,nhsd,HESOP,msoa11_e,,,
1167300,nhsd,HESOP,opertn_3_01,,,
1167301,nhsd,HESOP,opertn_3_02,,,
1167302,nhsd,HESOP,opertn_3_03,,,
1167303,nhsd,HESOP,opertn_3_04,,,
1167304,nhsd,HESOP,opertn_3_05,,,
1167305,nhsd,HESOP,opertn_3_06,,,
1167306,nhsd,HESOP,opertn_3_07,,,
1167307,nhsd,HESOP,opertn_3_08,,,
1167308,nhsd,HESOP,opertn_3_09,,,
1167309,nhsd,HESOP,opertn_3_10,,,
1167310,nhsd,HESOP,opertn_3_11,,,
1167311,nhsd,HESOP,opertn_3_12,,,
1167312,nhsd,HESOP,opertn_3_13,,,
1167313,nhsd,HESOP,opertn_3_14,,,
1167314,nhsd,HESOP,opertn_3_15,,,
1167315,nhsd,HESOP,opertn_3_16,,,
1167316,nhsd,HESOP,opertn_3_17,,,
1167317,nhsd,HESOP,opertn_3_18,,,
1167318,nhsd,HESOP,opertn_3_19,,,
1167319,nhsd,HESOP,opertn_3_20,,,
1167320,nhsd,HESOP,opertn_3_21,,,
1167321,nhsd,HESOP,opertn_3_22,,,
1167322,nhsd,HESOP,opertn_3_23,,,
1167323,nhsd,HESOP,opertn_3_24,,,
1167324,nhsd,HESOP,opertn_4_01,,,
1167325,nhsd,HESOP,opertn_4_02,,,
1167326,nhsd,HESOP,opertn_4_03,,,
1167327,nhsd,HESOP,opertn_4_04,,,
1167328,nhsd,HESOP,opertn_4_05,,,
1167329,nhsd,HESOP,opertn_4_06,,,
1167330,nhsd,HESOP,opertn_4_07,,,
1167331,nhsd,HESOP,opertn_4_08,,,
1167332,nhsd,HESOP,opertn_4_09,,,
1167333,nhsd,HESOP,opertn_4_10,,,
1167334,nhsd,HESOP,opertn_4_11,,,
1167335,nhsd,HESOP,opertn_4_12,,,
1167336,nhsd,HESOP,opertn_4_13,,,
1167337,nhsd,HESOP,opertn_4_14,,,
1167338,nhsd,HESOP,opertn_4_15,,,
1167339,nhsd,HESOP,opertn_4_16,,,
1167340,nhsd,HESOP,opertn_4_17,,,
1167341,nhsd,HESOP,opertn_4_18,,,
1167342,nhsd,HESOP,opertn_4_19,,,
1167343,nhsd,HESOP,opertn_4_20,,,
1167344,nhsd,HESOP,opertn_4_21,,,
1167345,nhsd,HESOP,opertn_4_22,,,
1167346,nhsd,HESOP,opertn_4_23,,,
1167347,nhsd,HESOP,opertn_4_24,,,
1167348,nhsd,HESOP,opertn_4_concat,,,
1167349,nhsd,HESOP,outcome,,,
1167350,nhsd,HESOP,partyear,,,
1167351,nhsd,HESOP,pcon_e,,,
1167352,nhsd,HESOP,pcon_ons_e,,,
1167353,nhsd,HESOP,pctcode_his_e,,,
1167354,nhsd,HESOP,pctorig_his,,,
1167355,nhsd,HESOP,pcttreat,,,
1167356,nhsd,HESOP,preferer,,,
1167357,nhsd,HESOP,priority,,,
1167358,nhsd,HESOP,procode3,,,
1167359,nhsd,HESOP,procode5,,,
1167360,nhsd,HESOP,procodet,,,
1167361,nhsd,HESOP,purcode,,,
1167362,nhsd,HESOP,referorg,,,
1167363,nhsd,HESOP,refsourc,,,
1167364,nhsd,HESOP,reqdate,,,
1167365,nhsd,HESOP,rescty,,,
1167366,nhsd,HESOP,rescty_ons,,,
1167367,nhsd,HESOP,resgor,,,
1167368,nhsd,HESOP,resgor_ons,,,
1167369,nhsd,HESOP,resladst_e,,,
1167370,nhsd,HESOP,resladst_ons_e,,,
1167371,nhsd,HESOP,respct_his,,,
1167372,nhsd,HESOP,resstha_his,,,
1167373,nhsd,HESOP,servtype,,,
1167374,nhsd,HESOP,sex,,,
1167375,nhsd,HESOP,sitetret_e,,,
1167376,nhsd,HESOP,stafftyp,,,
1167377,nhsd,HESOP,sthatret,,,
1167378,nhsd,HESOP,sushrg,,,
1167379,nhsd,HESOP,tretspef,,,
1167380,nhsd,HESOP,wait_ind,,,
1167381,nhsd,HESOP,waitdays,,,
1167382,nhsd,HESOP,waiting,,,
1167383,nhsd,HESOP,cohortkey_e,,,
1167384,nhsd,HESOP,nic_number,,,
1167385,nhsd,HESOP,avail_from_dt,,,
1167386,nhsd,HESOP,row_version,,,
