,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170205,nhsd,HESOP_OTR,activage,,,
1170206,nhsd,HESOP_OTR,attendkey,,,
1170207,nhsd,HESOP_OTR,babyage,,,
1170208,nhsd,HESOP_OTR,carersi,,,
1170209,nhsd,HESOP_OTR,csnum,,,
1170210,nhsd,HESOP_OTR,currward_e,,,
1170211,nhsd,HESOP_OTR,currward_ons_e,,,
1170212,nhsd,HESOP_OTR,diag_01,,,
1170213,nhsd,HESOP_OTR,diag_02,,,
1170214,nhsd,HESOP_OTR,diag_03,,,
1170215,nhsd,HESOP_OTR,diag_04,,,
1170216,nhsd,HESOP_OTR,diag_05,,,
1170217,nhsd,HESOP_OTR,diag_06,,,
1170218,nhsd,HESOP_OTR,diag_07,,,
1170219,nhsd,HESOP_OTR,diag_08,,,
1170220,nhsd,HESOP_OTR,diag_09,,,
1170221,nhsd,HESOP_OTR,diag_10,,,
1170222,nhsd,HESOP_OTR,diag_11,,,
1170223,nhsd,HESOP_OTR,diag_12,,,
1170224,nhsd,HESOP_OTR,earldatoff,,,
1170225,nhsd,HESOP_OTR,ethrawl,,,
1170226,nhsd,HESOP_OTR,fyear,,,
1170227,nhsd,HESOP_OTR,gppracha,,,
1170228,nhsd,HESOP_OTR,gppracro,,,
1170229,nhsd,HESOP_OTR,gpprpct_e,,,
1170230,nhsd,HESOP_OTR,gpprstha,,,
1170231,nhsd,HESOP_OTR,hatreat,,,
1170232,nhsd,HESOP_OTR,hrgnhs,,,
1170233,nhsd,HESOP_OTR,hrgnhsvn,,,
1170234,nhsd,HESOP_OTR,imd04_decile,,,
1170235,nhsd,HESOP_OTR,marstat,,,
1170236,nhsd,HESOP_OTR,mydob,,,
1170237,nhsd,HESOP_OTR,newnhsno_check,,,
1170238,nhsd,HESOP_OTR,nhsnoind,,,
1170239,nhsd,HESOP_OTR,nodiags,,,
1170240,nhsd,HESOP_OTR,noprocs,,,
1170241,nhsd,HESOP_OTR,oacode6_e,,,
1170242,nhsd,HESOP_OTR,opcs43,,,
1170243,nhsd,HESOP_OTR,operstat,,,
1170244,nhsd,HESOP_OTR,opertn_01,,,
1170245,nhsd,HESOP_OTR,opertn_02,,,
1170246,nhsd,HESOP_OTR,opertn_03,,,
1170247,nhsd,HESOP_OTR,opertn_04,,,
1170248,nhsd,HESOP_OTR,opertn_05,,,
1170249,nhsd,HESOP_OTR,opertn_06,,,
1170250,nhsd,HESOP_OTR,opertn_07,,,
1170251,nhsd,HESOP_OTR,opertn_08,,,
1170252,nhsd,HESOP_OTR,opertn_09,,,
1170253,nhsd,HESOP_OTR,opertn_10,,,
1170254,nhsd,HESOP_OTR,opertn_11,,,
1170255,nhsd,HESOP_OTR,opertn_12,,,
1170256,nhsd,HESOP_OTR,opertn_13,,,
1170257,nhsd,HESOP_OTR,opertn_14,,,
1170258,nhsd,HESOP_OTR,opertn_15,,,
1170259,nhsd,HESOP_OTR,opertn_16,,,
1170260,nhsd,HESOP_OTR,opertn_17,,,
1170261,nhsd,HESOP_OTR,opertn_18,,,
1170262,nhsd,HESOP_OTR,opertn_19,,,
1170263,nhsd,HESOP_OTR,opertn_20,,,
1170264,nhsd,HESOP_OTR,opertn_21,,,
1170265,nhsd,HESOP_OTR,opertn_22,,,
1170266,nhsd,HESOP_OTR,opertn_23,,,
1170267,nhsd,HESOP_OTR,opertn_24,,,
1170268,nhsd,HESOP_OTR,orgpppid_e,,,
1170269,nhsd,HESOP_OTR,partyear,,,
1170270,nhsd,HESOP_OTR,pcfound,,,
1170271,nhsd,HESOP_OTR,pconsult,,,
1170272,nhsd,HESOP_OTR,pctcode02_e,,,
1170273,nhsd,HESOP_OTR,pctcode06_e,,,
1170274,nhsd,HESOP_OTR,pctnhs_e,,,
1170275,nhsd,HESOP_OTR,pctorig02,,,
1170276,nhsd,HESOP_OTR,pctorig06_e,,,
1170277,nhsd,HESOP_OTR,preggmp,,,
1170278,nhsd,HESOP_OTR,primerecp,,,
1170279,nhsd,HESOP_OTR,procode_e,,,
1170280,nhsd,HESOP_OTR,protype,,,
1170281,nhsd,HESOP_OTR,purstha,,,
1170282,nhsd,HESOP_OTR,purval,,,
1170283,nhsd,HESOP_OTR,resha,,,
1170284,nhsd,HESOP_OTR,respct02_e,,,
1170285,nhsd,HESOP_OTR,respct06_e,,,
1170286,nhsd,HESOP_OTR,resro,,,
1170287,nhsd,HESOP_OTR,resstha02,,,
1170288,nhsd,HESOP_OTR,resstha06,,,
1170289,nhsd,HESOP_OTR,rotreat,,,
1170290,nhsd,HESOP_OTR,rttperend,,,
1170291,nhsd,HESOP_OTR,rttperstart,,,
1170292,nhsd,HESOP_OTR,rttperstat,,,
1170293,nhsd,HESOP_OTR,rururb_ind,,,
1170294,nhsd,HESOP_OTR,sender,,,
1170295,nhsd,HESOP_OTR,subdate,,,
1170296,nhsd,HESOP_OTR,sushrgvers,,,
1170297,nhsd,HESOP_OTR,suslddate,,,
1170298,nhsd,HESOP_OTR,susrecid,,,
1170299,nhsd,HESOP_OTR,susspellid,,,
1170300,nhsd,HESOP_OTR,ward91_e,,,
1170301,nhsd,HESOP_OTR,avail_from_dt,,,
1170302,nhsd,HESOP_OTR,row_version,,,
