,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170452,nhsd,IAPT_care_activities,orgid_provider,,,
1170453,nhsd,IAPT_care_activities,extractperiod_startdate,,,
1170454,nhsd,IAPT_care_activities,extractperiod_enddate,,,
1170455,nhsd,IAPT_care_activities,carecontdate,,,
1170456,nhsd,IAPT_care_activities,careconttime,,,
1170457,nhsd,IAPT_care_activities,orgidcomm,,,
1170458,nhsd,IAPT_care_activities,plannedcarecontindicator,,,
1170459,nhsd,IAPT_care_activities,attendordnacode,,,
1170460,nhsd,IAPT_care_activities,cancellation,,,
1170461,nhsd,IAPT_care_activities,clincontdurofcarecont,,,
1170462,nhsd,IAPT_care_activities,iaptltcserviceind,,,
1170463,nhsd,IAPT_care_activities,apptype,,,
1170464,nhsd,IAPT_care_activities,consmediumused,,,
1170465,nhsd,IAPT_care_activities,intenabledtherprog,,,
1170466,nhsd,IAPT_care_activities,carecontpatientthermode,,,
1170467,nhsd,IAPT_care_activities,numgrouptherparticipants,,,
1170468,nhsd,IAPT_care_activities,numgrouptherfacilitators,,,
1170469,nhsd,IAPT_care_activities,psychmed,,,
1170470,nhsd,IAPT_care_activities,actloctypecode,,,
1170471,nhsd,IAPT_care_activities,siteidoftreat,,,
1170472,nhsd,IAPT_care_activities,languagecodetreat,,,
1170473,nhsd,IAPT_care_activities,interpreterpresentind,,,
1170474,nhsd,IAPT_care_activities,pseudo_unique_servicerequestid,,,
1170475,nhsd,IAPT_care_activities,pseudo_unique_carecontactid,,,
1170476,nhsd,IAPT_care_activities,age_carecontact_date,,,
1170477,nhsd,IAPT_care_activities,distancefromhome_contactlocation,,,
1170478,nhsd,IAPT_care_activities,time_referral_to_carecontact,,,
1170479,nhsd,IAPT_care_activities,pathwayid,,,
1170480,nhsd,IAPT_care_activities,clincontactdurofcareact,,,
1170481,nhsd,IAPT_care_activities,codeprocandprocstatus,,,
1170482,nhsd,IAPT_care_activities,findschemeinuse,,,
1170483,nhsd,IAPT_care_activities,codefind,,,
1170484,nhsd,IAPT_care_activities,codeobs,,,
1170485,nhsd,IAPT_care_activities,obsvalue,,,
1170486,nhsd,IAPT_care_activities,unitmeasure,,,
1170487,nhsd,IAPT_care_activities,pseudounique_careactivityid,,,
1170488,nhsd,IAPT_care_activities,pseudounique_carepersonnelid_local,,,
1170489,nhsd,IAPT_care_activities,validated_findingcode,,,
1170490,nhsd,IAPT_care_activities,findingcode_icd10_master,,,
1170491,nhsd,IAPT_care_activities,findingdescription_icd10_master,,,
1170492,nhsd,IAPT_care_activities,qualattainleveliapt,,,
1170493,nhsd,IAPT_care_activities,qualawardeddate,,,
1170494,nhsd,IAPT_care_activities,qualplannedcompletiondate,,,
1170495,nhsd,IAPT_care_activities,cohortkey_e,,,
1170496,nhsd,IAPT_care_activities,nic_number,,,
1170497,nhsd,IAPT_care_activities,avail_from_dt,,,
1170498,nhsd,IAPT_care_activities,row_version,,,
