,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170721,nhsd,IAPT_employment_status,orgid_provider,,,
1170722,nhsd,IAPT_employment_status,extractperiod_startdate,,,
1170723,nhsd,IAPT_employment_status,extractperiod_enddate,,,
1170724,nhsd,IAPT_employment_status,employstatus,,,
1170725,nhsd,IAPT_employment_status,employstatusrecdate,,,
1170726,nhsd,IAPT_employment_status,weekhoursworked,,,
1170727,nhsd,IAPT_employment_status,selfemployind,,,
1170728,nhsd,IAPT_employment_status,sickabsenceind,,,
1170729,nhsd,IAPT_employment_status,sspind,,,
1170730,nhsd,IAPT_employment_status,benefitrecind,,,
1170731,nhsd,IAPT_employment_status,jsaind,,,
1170732,nhsd,IAPT_employment_status,esaind,,,
1170733,nhsd,IAPT_employment_status,ucind,,,
1170734,nhsd,IAPT_employment_status,pipind,,,
1170735,nhsd,IAPT_employment_status,otherbenefitind,,,
1170736,nhsd,IAPT_employment_status,empsupportind,,,
1170737,nhsd,IAPT_employment_status,empsupportreferral,,,
1170738,nhsd,IAPT_employment_status,cohortkey_e,,,
1170739,nhsd,IAPT_employment_status,nic_number,,,
1170740,nhsd,IAPT_employment_status,avail_from_dt,,,
1170741,nhsd,IAPT_employment_status,row_version,,,
