,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170742,nhsd,IAPT_internet_enabled_therapies,orgid_provider,,,
1170743,nhsd,IAPT_internet_enabled_therapies,extractperiod_startdate,,,
1170744,nhsd,IAPT_internet_enabled_therapies,extractperiod_enddate,,,
1170745,nhsd,IAPT_internet_enabled_therapies,startdateintenabledtherlog,,,
1170746,nhsd,IAPT_internet_enabled_therapies,enddateintenabledtherlog,,,
1170747,nhsd,IAPT_internet_enabled_therapies,intenabledtherprog,,,
1170748,nhsd,IAPT_internet_enabled_therapies,durationintenabledther,,,
1170749,nhsd,IAPT_internet_enabled_therapies,integratedsoftwareind,,,
1170750,nhsd,IAPT_internet_enabled_therapies,pseudo_unique_servicerequestid,,,
1170751,nhsd,IAPT_internet_enabled_therapies,pseudounique_carepersonnelid_local,,,
1170752,nhsd,IAPT_internet_enabled_therapies,pathwayid,,,
1170753,nhsd,IAPT_internet_enabled_therapies,qualattainleveliapt,,,
1170754,nhsd,IAPT_internet_enabled_therapies,qualawardeddate,,,
1170755,nhsd,IAPT_internet_enabled_therapies,qualplannedcompletiondate,,,
1170756,nhsd,IAPT_internet_enabled_therapies,cohortkey_e,,,
1170757,nhsd,IAPT_internet_enabled_therapies,nic_number,,,
1170758,nhsd,IAPT_internet_enabled_therapies,avail_from_dt,,,
1170759,nhsd,IAPT_internet_enabled_therapies,row_version,,,
