,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167695,nhsd,IAPT_mental_and_physical_health_conditions,orgid_provider,,,
1167696,nhsd,IAPT_mental_and_physical_health_conditions,extractperiod_startdate,,,
1167697,nhsd,IAPT_mental_and_physical_health_conditions,extractperiod_enddate,,,
1167698,nhsd,IAPT_mental_and_physical_health_conditions,findschemeinuse,,,
1167699,nhsd,IAPT_mental_and_physical_health_conditions,menphyshealthcondition,,,
1167700,nhsd,IAPT_mental_and_physical_health_conditions,menphyshealthcondition_type,,,
1167701,nhsd,IAPT_mental_and_physical_health_conditions,pseudo_unique_servicerequestid,,,
1167702,nhsd,IAPT_mental_and_physical_health_conditions,validated_menphyshealthcondcode,,,
1167703,nhsd,IAPT_mental_and_physical_health_conditions,menphyshealthcondcode_icd10_master,,,
1167704,nhsd,IAPT_mental_and_physical_health_conditions,menphyshealthconddescription_icd10_master,,,
1167705,nhsd,IAPT_mental_and_physical_health_conditions,pathwayid,,,
1167706,nhsd,IAPT_mental_and_physical_health_conditions,prescompcodsig,,,
1167707,nhsd,IAPT_mental_and_physical_health_conditions,prescompdate,,,
1167708,nhsd,IAPT_mental_and_physical_health_conditions,cohortkey_e,,,
1167709,nhsd,IAPT_mental_and_physical_health_conditions,nic_number,,,
1167710,nhsd,IAPT_mental_and_physical_health_conditions,avail_from_dt,,,
1167711,nhsd,IAPT_mental_and_physical_health_conditions,row_version,,,
