,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170804,nhsd,IELISA,ethnicity,,,
1170805,nhsd,IELISA,carehomerole,,,
1170806,nhsd,IELISA,testlocation,,,
1170807,nhsd,IELISA,nhsregion,,,
1170808,nhsd,IELISA,recordcreateddate,,,
1170809,nhsd,IELISA,analyser,,,
1170810,nhsd,IELISA,organisationid,,,
1170811,nhsd,IELISA,covidsymptomatic,,,
1170812,nhsd,IELISA,administrationmethod,,,
1170813,nhsd,IELISA,nondigitaluser,,,
1170814,nhsd,IELISA,appointmentdate,,,
1170815,nhsd,IELISA,dateofonset,,,
1170816,nhsd,IELISA,keyworkertype,,,
1170817,nhsd,IELISA,processinglabcode,,,
1170818,nhsd,IELISA,dateofpositivetest,,,
1170819,nhsd,IELISA,country,,,
1170820,nhsd,IELISA,resultvalueunitofmeasure,,,
1170821,nhsd,IELISA,specimenprocesseddate,,,
1170822,nhsd,IELISA,industrysector,,,
1170823,nhsd,IELISA,subjectid,,,
1170824,nhsd,IELISA,testcentreid,,,
1170825,nhsd,IELISA,testenddate,,,
1170826,nhsd,IELISA,accessiondate,,,
1170827,nhsd,IELISA,workstatus,,,
1170828,nhsd,IELISA,keyworkerid,,,
1170829,nhsd,IELISA,occupation,,,
1170830,nhsd,IELISA,testtype,,,
1170831,nhsd,IELISA,teststartdate,,,
1170832,nhsd,IELISA,testkit,,,
1170833,nhsd,IELISA,specimenid,,,
1170834,nhsd,IELISA,testresult,,,
1170835,nhsd,IELISA,cohortkey_e,,,
1170836,nhsd,IELISA,nic_number,,,
1170837,nhsd,IELISA,avail_from_dt,,,
1170838,nhsd,IELISA,row_version,,,
