,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170839,nhsd,MHSDS_MHS001MPI,agedeath,,,
1170840,nhsd,MHSDS_MHS001MPI,agerepperiodend,,,
1170841,nhsd,MHSDS_MHS001MPI,agerepperiodstart,,,
1170842,nhsd,MHSDS_MHS001MPI,ethniccategory,,,
1170843,nhsd,MHSDS_MHS001MPI,languagecodepreferred,,,
1170844,nhsd,MHSDS_MHS001MPI,lsoa2011_e,,,
1170845,nhsd,MHSDS_MHS001MPI,mhs001uniqid,,,
1170846,nhsd,MHSDS_MHS001MPI,nhsnumberstatus,,,
1170847,nhsd,MHSDS_MHS001MPI,orgidccgres_e,,,
1170848,nhsd,MHSDS_MHS001MPI,orgidprov_e,,,
1170849,nhsd,MHSDS_MHS001MPI,orgideduestab_e,,,
1170850,nhsd,MHSDS_MHS001MPI,orgidlocalpatientid_e,,,
1170851,nhsd,MHSDS_MHS001MPI,orgidresidenceresp_e,,,
1170852,nhsd,MHSDS_MHS001MPI,maritalstatus,,,
1170853,nhsd,MHSDS_MHS001MPI,gender,,,
1170854,nhsd,MHSDS_MHS001MPI,recordnumber,,,
1170855,nhsd,MHSDS_MHS001MPI,uniqsubmissionid,,,
1170856,nhsd,MHSDS_MHS001MPI,ic_ethnicity,,,
1170857,nhsd,MHSDS_MHS001MPI,ic_lda_flag,,,
1170858,nhsd,MHSDS_MHS001MPI,month_id,,,
1170859,nhsd,MHSDS_MHS001MPI,ic_nat_mrecent_in_rp_flag,,,
1170860,nhsd,MHSDS_MHS001MPI,cohortkey_e,,,
1170861,nhsd,MHSDS_MHS001MPI,nic_number,,,
1170862,nhsd,MHSDS_MHS001MPI,avail_from_dt,,,
1170863,nhsd,MHSDS_MHS001MPI,row_version,,,
