,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170864,nhsd,MHSDS_MHS002GP,enddategmpregistration,,,
1170865,nhsd,MHSDS_MHS002GP,gmpcodereg_e,,,
1170866,nhsd,MHSDS_MHS002GP,gpdistancehome,,,
1170867,nhsd,MHSDS_MHS002GP,mhs002uniqid,,,
1170868,nhsd,MHSDS_MHS002GP,orgidccggppractice_e,,,
1170869,nhsd,MHSDS_MHS002GP,orgidprov_e,,,
1170870,nhsd,MHSDS_MHS002GP,orgidgpprac_e,,,
1170871,nhsd,MHSDS_MHS002GP,recordnumber,,,
1170872,nhsd,MHSDS_MHS002GP,startdategmpregistration,,,
1170873,nhsd,MHSDS_MHS002GP,uniqsubmissionid,,,
1170874,nhsd,MHSDS_MHS002GP,month_id,,,
1170875,nhsd,MHSDS_MHS002GP,cohortkey_e,,,
1170876,nhsd,MHSDS_MHS002GP,nic_number,,,
1170877,nhsd,MHSDS_MHS002GP,avail_from_dt,,,
1170878,nhsd,MHSDS_MHS002GP,row_version,,,
