,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167828,nhsd,MHSDS_MHS004EmpStatus,employstatus,,,
1167829,nhsd,MHSDS_MHS004EmpStatus,employstatusrecdate,,,
1167830,nhsd,MHSDS_MHS004EmpStatus,mhs004uniqid,,,
1167831,nhsd,MHSDS_MHS004EmpStatus,orgidprov,,,
1167832,nhsd,MHSDS_MHS004EmpStatus,recordnumber,,,
1167833,nhsd,MHSDS_MHS004EmpStatus,uniqsubmissionid,,,
1167834,nhsd,MHSDS_MHS004EmpStatus,weekhoursworked,,,
1167835,nhsd,MHSDS_MHS004EmpStatus,month_id,,,
1167836,nhsd,MHSDS_MHS004EmpStatus,cohortkey_e,,,
1167837,nhsd,MHSDS_MHS004EmpStatus,nic_number,,,
1167838,nhsd,MHSDS_MHS004EmpStatus,avail_from_dt,,,
1167839,nhsd,MHSDS_MHS004EmpStatus,row_version,,,
