,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167861,nhsd,MHSDS_MHS006MHCareCoord,pcareproflocalid,,,
1167862,nhsd,MHSDS_MHS006MHCareCoord,careprofservorteamtypeassoc,,,
1167863,nhsd,MHSDS_MHS006MHCareCoord,enddateasscarecoord,,,
1167864,nhsd,MHSDS_MHS006MHCareCoord,mhs006uniqid,,,
1167865,nhsd,MHSDS_MHS006MHCareCoord,orgidprov,,,
1167866,nhsd,MHSDS_MHS006MHCareCoord,recordnumber,,,
1167867,nhsd,MHSDS_MHS006MHCareCoord,startdateasscarecoord,,,
1167868,nhsd,MHSDS_MHS006MHCareCoord,puniqcareproflocalid,,,
1167869,nhsd,MHSDS_MHS006MHCareCoord,uniqsubmissionid,,,
1167870,nhsd,MHSDS_MHS006MHCareCoord,month_id,,,
1167871,nhsd,MHSDS_MHS006MHCareCoord,cohortkey_e,,,
1167872,nhsd,MHSDS_MHS006MHCareCoord,nic_number,,,
1167873,nhsd,MHSDS_MHS006MHCareCoord,avail_from_dt,,,
1167874,nhsd,MHSDS_MHS006MHCareCoord,row_version,,,
