,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167875,nhsd,MHSDS_MHS007DisabilityType,disabcode,,,
1167876,nhsd,MHSDS_MHS007DisabilityType,disabimpacpercep,,,
1167877,nhsd,MHSDS_MHS007DisabilityType,mhs007uniqid,,,
1167878,nhsd,MHSDS_MHS007DisabilityType,orgidprov,,,
1167879,nhsd,MHSDS_MHS007DisabilityType,recordnumber,,,
1167880,nhsd,MHSDS_MHS007DisabilityType,uniqsubmissionid,,,
1167881,nhsd,MHSDS_MHS007DisabilityType,month_id,,,
1167882,nhsd,MHSDS_MHS007DisabilityType,cohortkey_e,,,
1167883,nhsd,MHSDS_MHS007DisabilityType,nic_number,,,
1167884,nhsd,MHSDS_MHS007DisabilityType,avail_from_dt,,,
1167885,nhsd,MHSDS_MHS007DisabilityType,row_version,,,
