,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167886,nhsd,MHSDS_MHS008CarePlanType,careplancreatdate,,,
1167887,nhsd,MHSDS_MHS008CarePlanType,careplancreationtime,,,
1167888,nhsd,MHSDS_MHS008CarePlanType,pcareplanid,,,
1167889,nhsd,MHSDS_MHS008CarePlanType,careplanimplementdate,,,
1167890,nhsd,MHSDS_MHS008CarePlanType,careplanlastupdatedate,,,
1167891,nhsd,MHSDS_MHS008CarePlanType,careplanlastupdatetime,,,
1167892,nhsd,MHSDS_MHS008CarePlanType,careplantypemh,,,
1167893,nhsd,MHSDS_MHS008CarePlanType,mhs008uniqid,,,
1167894,nhsd,MHSDS_MHS008CarePlanType,orgidprov,,,
1167895,nhsd,MHSDS_MHS008CarePlanType,recordnumber,,,
1167896,nhsd,MHSDS_MHS008CarePlanType,puniqcareplanid,,,
1167897,nhsd,MHSDS_MHS008CarePlanType,uniqsubmissionid,,,
1167898,nhsd,MHSDS_MHS008CarePlanType,month_id,,,
1167899,nhsd,MHSDS_MHS008CarePlanType,cohortkey_e,,,
1167900,nhsd,MHSDS_MHS008CarePlanType,nic_number,,,
1167901,nhsd,MHSDS_MHS008CarePlanType,avail_from_dt,,,
1167902,nhsd,MHSDS_MHS008CarePlanType,row_version,,,
