,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170968,nhsd,MHSDS_MHS009CarePlanAgreement,careplanagreedby,,,
1170969,nhsd,MHSDS_MHS009CarePlanAgreement,careplanagreeddate,,,
1170970,nhsd,MHSDS_MHS009CarePlanAgreement,careplanagreedtime,,,
1170971,nhsd,MHSDS_MHS009CarePlanAgreement,pcareplanid,,,
1170972,nhsd,MHSDS_MHS009CarePlanAgreement,mhs009uniqid,,,
1170973,nhsd,MHSDS_MHS009CarePlanAgreement,orgidprov_e,,,
1170974,nhsd,MHSDS_MHS009CarePlanAgreement,recordnumber,,,
1170975,nhsd,MHSDS_MHS009CarePlanAgreement,puniqcareplanid,,,
1170976,nhsd,MHSDS_MHS009CarePlanAgreement,uniqsubmissionid,,,
1170977,nhsd,MHSDS_MHS009CarePlanAgreement,month_id,,,
1170978,nhsd,MHSDS_MHS009CarePlanAgreement,cohortkey_e,,,
1170979,nhsd,MHSDS_MHS009CarePlanAgreement,nic_number,,,
1170980,nhsd,MHSDS_MHS009CarePlanAgreement,avail_from_dt,,,
1170981,nhsd,MHSDS_MHS009CarePlanAgreement,row_version,,,
