,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1170982,nhsd,MHSDS_MHS011SocPerCircumstances,mhs011uniqid,,,
1170983,nhsd,MHSDS_MHS011SocPerCircumstances,orgidprov_e,,,
1170984,nhsd,MHSDS_MHS011SocPerCircumstances,recordnumber,,,
1170985,nhsd,MHSDS_MHS011SocPerCircumstances,socpercircumstance,,,
1170986,nhsd,MHSDS_MHS011SocPerCircumstances,socpercircumstancerecdate,,,
1170987,nhsd,MHSDS_MHS011SocPerCircumstances,uniqsubmissionid,,,
1170988,nhsd,MHSDS_MHS011SocPerCircumstances,month_id,,,
1170989,nhsd,MHSDS_MHS011SocPerCircumstances,cohortkey_e,,,
1170990,nhsd,MHSDS_MHS011SocPerCircumstances,nic_number,,,
1170991,nhsd,MHSDS_MHS011SocPerCircumstances,avail_from_dt,,,
1170992,nhsd,MHSDS_MHS011SocPerCircumstances,row_version,,,
