,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167928,nhsd,MHSDS_MHS012OverseasVisitorChargCat,mhs012uniqid,,,
1167929,nhsd,MHSDS_MHS012OverseasVisitorChargCat,orgidprov,,,
1167930,nhsd,MHSDS_MHS012OverseasVisitorChargCat,ovsvischcat,,,
1167931,nhsd,MHSDS_MHS012OverseasVisitorChargCat,ovsvischcatappdate,,,
1167932,nhsd,MHSDS_MHS012OverseasVisitorChargCat,recordnumber,,,
1167933,nhsd,MHSDS_MHS012OverseasVisitorChargCat,uniqsubmissionid,,,
1167934,nhsd,MHSDS_MHS012OverseasVisitorChargCat,month_id,,,
1167935,nhsd,MHSDS_MHS012OverseasVisitorChargCat,cohortkey_e,,,
1167936,nhsd,MHSDS_MHS012OverseasVisitorChargCat,nic_number,,,
1167937,nhsd,MHSDS_MHS012OverseasVisitorChargCat,avail_from_dt,,,
1167938,nhsd,MHSDS_MHS012OverseasVisitorChargCat,row_version,,,
