,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167939,nhsd,MHSDS_MHS101Referral,ageservreferdischdate,,,
1167940,nhsd,MHSDS_MHS101Referral,ageservreferrecdate,,,
1167941,nhsd,MHSDS_MHS101Referral,clinrespprioritytype,,,
1167942,nhsd,MHSDS_MHS101Referral,dischletterissdate,,,
1167943,nhsd,MHSDS_MHS101Referral,dischplancreationdate,,,
1167944,nhsd,MHSDS_MHS101Referral,dischplancreationtime,,,
1167945,nhsd,MHSDS_MHS101Referral,dischplanlastupdateddate,,,
1167946,nhsd,MHSDS_MHS101Referral,dischplanlastupdatedtime,,,
1167947,nhsd,MHSDS_MHS101Referral,mhs101uniqid,,,
1167948,nhsd,MHSDS_MHS101Referral,nhsservagreelinenum,,,
1167949,nhsd,MHSDS_MHS101Referral,orgidcomm_e,,,
1167950,nhsd,MHSDS_MHS101Referral,orgidprov_e,,,
1167951,nhsd,MHSDS_MHS101Referral,orgidreferring_e,,,
1167952,nhsd,MHSDS_MHS101Referral,primreasonreferralmh,,,
1167953,nhsd,MHSDS_MHS101Referral,reasonoat,,,
1167954,nhsd,MHSDS_MHS101Referral,recordnumber,,,
1167955,nhsd,MHSDS_MHS101Referral,referralrequestreceiveddate,,,
1167956,nhsd,MHSDS_MHS101Referral,referralrequestreceivedtime,,,
1167957,nhsd,MHSDS_MHS101Referral,referringcareprofessionalstaffgroup,,,
1167958,nhsd,MHSDS_MHS101Referral,servdischdate,,,
1167959,nhsd,MHSDS_MHS101Referral,servdischtime,,,
1167960,nhsd,MHSDS_MHS101Referral,pservicerequestid,,,
1167961,nhsd,MHSDS_MHS101Referral,sourceofreferralmh,,,
1167962,nhsd,MHSDS_MHS101Referral,specialisedmhservicecode,,,
1167963,nhsd,MHSDS_MHS101Referral,puniqservreqid,,,
1167964,nhsd,MHSDS_MHS101Referral,uniqsubmissionid,,,
1167965,nhsd,MHSDS_MHS101Referral,month_id,,,
1167966,nhsd,MHSDS_MHS101Referral,cohortkey_e,,,
1167967,nhsd,MHSDS_MHS101Referral,nic_number,,,
1167968,nhsd,MHSDS_MHS101Referral,avail_from_dt,,,
1167969,nhsd,MHSDS_MHS101Referral,row_version,,,
