,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167970,nhsd,MHSDS_MHS102ServiceTypeReferredTo,ageservreferclosure,,,
1167971,nhsd,MHSDS_MHS102ServiceTypeReferredTo,ageservreferrejection,,,
1167972,nhsd,MHSDS_MHS102ServiceTypeReferredTo,pcareprofteamlocalid,,,
1167973,nhsd,MHSDS_MHS102ServiceTypeReferredTo,camhstier,,,
1167974,nhsd,MHSDS_MHS102ServiceTypeReferredTo,mhs102uniqid,,,
1167975,nhsd,MHSDS_MHS102ServiceTypeReferredTo,orgidprov_e,,,
1167976,nhsd,MHSDS_MHS102ServiceTypeReferredTo,recordnumber,,,
1167977,nhsd,MHSDS_MHS102ServiceTypeReferredTo,referclosuredate,,,
1167978,nhsd,MHSDS_MHS102ServiceTypeReferredTo,referclosreason,,,
1167979,nhsd,MHSDS_MHS102ServiceTypeReferredTo,referclosuretime,,,
1167980,nhsd,MHSDS_MHS102ServiceTypeReferredTo,referrejectiondate,,,
1167981,nhsd,MHSDS_MHS102ServiceTypeReferredTo,referrejectreason,,,
1167982,nhsd,MHSDS_MHS102ServiceTypeReferredTo,referrejectiontime,,,
1167983,nhsd,MHSDS_MHS102ServiceTypeReferredTo,servteamtypereftomh,,,
1167984,nhsd,MHSDS_MHS102ServiceTypeReferredTo,pservicerequestid,,,
1167985,nhsd,MHSDS_MHS102ServiceTypeReferredTo,puniqcareprofteamid,,,
1167986,nhsd,MHSDS_MHS102ServiceTypeReferredTo,puniqservreqid,,,
1167987,nhsd,MHSDS_MHS102ServiceTypeReferredTo,uniqsubmissionid,,,
1167988,nhsd,MHSDS_MHS102ServiceTypeReferredTo,month_id,,,
1167989,nhsd,MHSDS_MHS102ServiceTypeReferredTo,cohortkey_e,,,
1167990,nhsd,MHSDS_MHS102ServiceTypeReferredTo,nic_number,,,
1167991,nhsd,MHSDS_MHS102ServiceTypeReferredTo,avail_from_dt,,,
1167992,nhsd,MHSDS_MHS102ServiceTypeReferredTo,row_version,,,
