,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1167993,nhsd,MHSDS_MHS103OtherReasonReferral,mhs103uniqid,,,
1167994,nhsd,MHSDS_MHS103OtherReasonReferral,orgidprov_e,,,
1167995,nhsd,MHSDS_MHS103OtherReasonReferral,otherreasonrefermh,,,
1167996,nhsd,MHSDS_MHS103OtherReasonReferral,recordnumber,,,
1167997,nhsd,MHSDS_MHS103OtherReasonReferral,pservicerequestid,,,
1167998,nhsd,MHSDS_MHS103OtherReasonReferral,puniqservreqid,,,
1167999,nhsd,MHSDS_MHS103OtherReasonReferral,uniqsubmissionid,,,
1168000,nhsd,MHSDS_MHS103OtherReasonReferral,month_id,,,
1168001,nhsd,MHSDS_MHS103OtherReasonReferral,cohortkey_e,,,
1168002,nhsd,MHSDS_MHS103OtherReasonReferral,nic_number,,,
1168003,nhsd,MHSDS_MHS103OtherReasonReferral,avail_from_dt,,,
1168004,nhsd,MHSDS_MHS103OtherReasonReferral,row_version,,,
