,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1168023,nhsd,MHSDS_MHS106DischargePlanAgreement,dischplanagreedby,,,
1168024,nhsd,MHSDS_MHS106DischargePlanAgreement,dischplanagreeddate,,,
1168025,nhsd,MHSDS_MHS106DischargePlanAgreement,dischplanagreedtime,,,
1168026,nhsd,MHSDS_MHS106DischargePlanAgreement,mhs106uniqid,,,
1168027,nhsd,MHSDS_MHS106DischargePlanAgreement,orgidprov_e,,,
1168028,nhsd,MHSDS_MHS106DischargePlanAgreement,recordnumber,,,
1168029,nhsd,MHSDS_MHS106DischargePlanAgreement,pservicerequestid,,,
1168030,nhsd,MHSDS_MHS106DischargePlanAgreement,puniqservreqid,,,
1168031,nhsd,MHSDS_MHS106DischargePlanAgreement,uniqsubmissionid,,,
1168032,nhsd,MHSDS_MHS106DischargePlanAgreement,month_id,,,
1168033,nhsd,MHSDS_MHS106DischargePlanAgreement,cohortkey_e,,,
1168034,nhsd,MHSDS_MHS106DischargePlanAgreement,nic_number,,,
1168035,nhsd,MHSDS_MHS106DischargePlanAgreement,avail_from_dt,,,
1168036,nhsd,MHSDS_MHS106DischargePlanAgreement,row_version,,,
