,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1171197,nhsd,MHSDS_MHS204IndirectActivity,pcareproflocalid,,,
1171198,nhsd,MHSDS_MHS204IndirectActivity,pcareprofteamlocalid,,,
1171199,nhsd,MHSDS_MHS204IndirectActivity,codefind,,,
1171200,nhsd,MHSDS_MHS204IndirectActivity,codeprocandprocstatus,,,
1171201,nhsd,MHSDS_MHS204IndirectActivity,durationindirectact,,,
1171202,nhsd,MHSDS_MHS204IndirectActivity,findschemeinuse,,,
1171203,nhsd,MHSDS_MHS204IndirectActivity,indirectactdate,,,
1171204,nhsd,MHSDS_MHS204IndirectActivity,indirectacttime,,,
1171205,nhsd,MHSDS_MHS204IndirectActivity,mhs204uniqid,,,
1171206,nhsd,MHSDS_MHS204IndirectActivity,orgidcomm_e,,,
1171207,nhsd,MHSDS_MHS204IndirectActivity,orgidprov_e,,,
1171208,nhsd,MHSDS_MHS204IndirectActivity,recordnumber,,,
1171209,nhsd,MHSDS_MHS204IndirectActivity,pservicerequestid,,,
1171210,nhsd,MHSDS_MHS204IndirectActivity,puniqcareproflocalid,,,
1171211,nhsd,MHSDS_MHS204IndirectActivity,puniqservreqid,,,
1171212,nhsd,MHSDS_MHS204IndirectActivity,uniqsubmissionid,,,
1171213,nhsd,MHSDS_MHS204IndirectActivity,month_id,,,
1171214,nhsd,MHSDS_MHS204IndirectActivity,cohortkey_e,,,
1171215,nhsd,MHSDS_MHS204IndirectActivity,nic_number,,,
1171216,nhsd,MHSDS_MHS204IndirectActivity,avail_from_dt,,,
1171217,nhsd,MHSDS_MHS204IndirectActivity,row_version,,,
