,Source,Block Name,Variable Name,Variable Description,Value,Value Description
1171248,nhsd,MHSDS_MHS603ProvDiag,diagschemeinuse,,,
1171249,nhsd,MHSDS_MHS603ProvDiag,mhs603uniqid,,,
1171250,nhsd,MHSDS_MHS603ProvDiag,orgidprov_e,,,
1171251,nhsd,MHSDS_MHS603ProvDiag,provdiag,,,
1171252,nhsd,MHSDS_MHS603ProvDiag,provdiagdate,,,
1171253,nhsd,MHSDS_MHS603ProvDiag,recordnumber,,,
1171254,nhsd,MHSDS_MHS603ProvDiag,pservicerequestid,,,
1171255,nhsd,MHSDS_MHS603ProvDiag,puniqservreqid,,,
1171256,nhsd,MHSDS_MHS603ProvDiag,uniqsubmissionid,,,
1171257,nhsd,MHSDS_MHS603ProvDiag,month_id,,,
1171258,nhsd,MHSDS_MHS603ProvDiag,cohortkey_e,,,
1171259,nhsd,MHSDS_MHS603ProvDiag,nic_number,,,
1171260,nhsd,MHSDS_MHS603ProvDiag,avail_from_dt,,,
1171261,nhsd,MHSDS_MHS603ProvDiag,row_version,,,
